PeakID (cmd=annotatePeaks.pl SPT5.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_974	XII	605039	605600	+	0	NA	promoter-TSS (YLR229C)	protein_coding-promoter-TSS (YLR229C)	113	tI(UAU)L	tI(UAU)L	tI(UAU)L			tI(UAU)L			tRNA
Interval_14	I	138501	139312	+	0	NA	promoter-TSS (YAL007C)	protein_coding-promoter-TSS (YAL007C)	-246	tP(UGG)A	tP(UGG)A	tP(UGG)A			TRN1			tRNA
Interval_683	VIII	65710	66031	+	0	NA	promoter-TSS (YHL021C)	protein_coding-promoter-TSS (YHL021C)	-11	YHL021C	YHL021C	YHL021C			AIM17			protein_coding
Interval_636	VII	798289	798472	+	0	NA	promoter-TSS (YGR154C)	protein_coding-promoter-TSS (YGR154C)	-163	YGR155W	YGR155W	YGR155W			CYS4			protein_coding
Interval_690	VIII	125996	126401	+	0	NA	promoter-TSS (YHR009C)	protein_coding-promoter-TSS (YHR009C)	-323	YHR010W	YHR010W	YHR010W			RPL27A			protein_coding
Interval_1035	XIII	16784	17131	+	0	NA	promoter-TSS (YML127W)	protein_coding-promoter-TSS (YML127W)	-107	YML127W	YML127W	YML127W			RSC9			protein_coding
Interval_1328	XV	769743	770660	+	0	NA	promoter-TSS (YOR230W)	protein_coding-promoter-TSS (YOR230W)	-599	YOR230W	YOR230W	YOR230W			WTM1			protein_coding
Interval_344	IV	1468603	1470971	+	0	NA	promoter-TSS (YDR510C-A)	protein_coding-promoter-TSS (YDR510C-A)	24	YDR510C-A	YDR510C-A	YDR510C-A			YDR510C-A			protein_coding
Interval_568	VII	311665	312396	+	0	NA	promoter-TSS (YGL101W)	protein_coding-promoter-TSS (YGL101W)	-97	YGL102C	YGL102C	YGL102C			YGL102C			protein_coding
Interval_1215	XIV	518792	519228	+	0	NA	promoter-TSS (YNL054W-A)	protein_coding-promoter-TSS (YNL054W-A)	159	tD(GUC)N	tD(GUC)N	tD(GUC)N			tD(GUC)N			tRNA
Interval_593	VII	515922	516599	+	0	NA	promoter-TSS (YGR014W)	protein_coding-promoter-TSS (YGR014W)	-683	YGR014W	YGR014W	YGR014W			MSB2			protein_coding
Interval_129	III	30523	31358	+	0	NA	promoter-TSS (YCL054W)	protein_coding-promoter-TSS (YCL054W)	-509	YCL054W	YCL054W	YCL054W			SPB1			protein_coding
Interval_1223	XIV	578682	579190	+	0	NA	promoter-TSS (YNL027W)	protein_coding-promoter-TSS (YNL027W)	-163	YNL029C	YNL029C	YNL029C			KTR5			protein_coding
Interval_1288	XV	417883	418277	+	0	NA	promoter-TSS (YOR047C)	protein_coding-promoter-TSS (YOR047C)	-399	YOR047C	YOR047C	YOR047C			STD1			protein_coding
Interval_508	V	546621	547390	+	0	NA	TTS (YER177W)	protein_coding-TTS (YER177W)	188	YER178W	YER178W	YER178W			PDA1			protein_coding
Interval_1429	XVI	566807	567067	+	0	NA	promoter-TSS (YPR005C)	protein_coding-promoter-TSS (YPR005C)	-266	YPR005C	YPR005C	YPR005C			HAL1			protein_coding
Interval_676	VIII	4887	5491	+	0	NA	promoter-TSS (YHL049C)	protein_coding-promoter-TSS (YHL049C)	608	YHL048C-A	YHL048C-A	YHL048C-A			YHL048C-A			protein_coding
Interval_172	IV	42384	42594	+	0	NA	promoter-TSS (YDL230W)	protein_coding-promoter-TSS (YDL230W)	-211	YDL230W	YDL230W	YDL230W			PTP1			protein_coding
Interval_1432	XVI	586025	587485	+	0	NA	TTS (YPR014C)	protein_coding-TTS (YPR014C)	763	YPR014C	YPR014C	YPR014C			YPR014C			protein_coding
Interval_772	X	157352	158021	+	0	NA	promoter-TSS (YJL134W)	protein_coding-promoter-TSS (YJL134W)	-191	YJL135W	YJL135W	YJL135W			YJL135W			protein_coding
Interval_564	VII	276803	277533	+	0	NA	promoter-TSS (YGL123W)	protein_coding-promoter-TSS (YGL123W)	-449	YGL123W	YGL123W	YGL123W			RPS2			protein_coding
Interval_1137	XIII	880511	880987	+	0	NA	promoter-TSS (YMR305C)	protein_coding-promoter-TSS (YMR305C)	-410	YMR306W	YMR306W	YMR306W			FKS3			protein_coding
Interval_1370	XVI	24582	24915	+	0	NA	promoter-TSS (YPL273W)	protein_coding-promoter-TSS (YPL273W)	-339	YPL273W	YPL273W	YPL273W			SAM4			protein_coding
Interval_1214	XIV	515057	515706	+	0	NA	promoter-TSS (YNL059C)	protein_coding-promoter-TSS (YNL059C)	-446	YNL059C	YNL059C	YNL059C			ARP5			protein_coding
Interval_399	IX	360384	360615	+	0	NA	promoter-TSS (YIR002C)	protein_coding-promoter-TSS (YIR002C)	-103	YIR002C	YIR002C	YIR002C			MPH1			protein_coding
Interval_872	XI	219692	220194	+	0	NA	promoter-TSS (YKL117W)	protein_coding-promoter-TSS (YKL117W)	48	tA(AGC)K1	tA(AGC)K1	tA(AGC)K1			tA(AGC)K1			tRNA
Interval_1346	XV	903794	904462	+	0	NA	promoter-TSS (YOR314W-A)	protein_coding-promoter-TSS (YOR314W-A)	-330	YOR314W-A	YOR314W-A	YOR314W-A			YOR314W-A			protein_coding
Interval_264	IV	768192	770172	+	0	NA	promoter-TSS (YDR154C)	protein_coding-promoter-TSS (YDR154C)	-182	YDR155C	YDR155C	YDR155C			CPR1			protein_coding
Interval_289	IV	1015975	1016498	+	0	NA	promoter-TSS (YDR277C)	protein_coding-promoter-TSS (YDR277C)	-534	YDR277C	YDR277C	YDR277C			MTH1			protein_coding
Interval_1121	XIII	743547	743796	+	0	NA	promoter-TSS (YMR235C)	protein_coding-promoter-TSS (YMR235C)	-78	YMR237W	YMR237W	YMR237W			BCH1			protein_coding
Interval_1069	XIII	290905	291096	+	0	NA	promoter-TSS (YMR012W)	protein_coding-promoter-TSS (YMR012W)	-134	YMR012W	YMR012W	YMR012W			CLU1			protein_coding
Interval_228	IV	485231	485887	+	0	NA	promoter-TSS (YDR019C)	protein_coding-promoter-TSS (YDR019C)	-194	YDR019C	YDR019C	YDR019C			GCV1			protein_coding
Interval_203	IV	263957	264208	+	0	NA	promoter-TSS (YDL111C)	protein_coding-promoter-TSS (YDL111C)	28	YDL111C	YDL111C	YDL111C			RRP42			protein_coding
Interval_313	IV	1233650	1233975	+	0	NA	promoter-TSS (YDR379C-A)	protein_coding-promoter-TSS (YDR379C-A)	-295	YDR379C-A	YDR379C-A	YDR379C-A			SDH6			protein_coding
Interval_1348	XV	911799	912927	+	0	NA	promoter-TSS (YOR318C)	protein_coding-promoter-TSS (YOR318C)	73	YOR318C	YOR318C	YOR318C			YOR318C			protein_coding
Interval_1404	XVI	364518	365076	+	0	NA	promoter-TSS (YPL097W)	protein_coding-promoter-TSS (YPL097W)	-70	YPL098C	YPL098C	YPL098C			MGR2			protein_coding
Interval_778	X	194965	196148	+	0	NA	promoter-TSS (YJL115W)	protein_coding-promoter-TSS (YJL115W)	-683	YJL116C	YJL116C	YJL116C			NCA3			protein_coding
Interval_297	IV	1086929	1087479	+	0	NA	promoter-TSS (YDR312W)	protein_coding-promoter-TSS (YDR312W)	-377	YDR312W	YDR312W	YDR312W			SSF2			protein_coding
Interval_1212	XIV	502787	503537	+	0	NA	promoter-TSS (YNL065W)	protein_coding-promoter-TSS (YNL065W)	-562	YNL065W	YNL065W	YNL065W			AQR1			protein_coding
Interval_1311	XV	605920	606500	+	0	NA	promoter-TSS (YOR145C)	protein_coding-promoter-TSS (YOR145C)	-39	YOR145C	YOR145C	YOR145C			PNO1			protein_coding
Interval_374	IX	173395	174148	+	0	NA	promoter-TSS (YIL102C-A)	protein_coding-promoter-TSS (YIL102C-A)	-179	YIL102C-A	YIL102C-A	YIL102C-A			YIL102C-A			protein_coding
Interval_720	VIII	368071	368294	+	0	NA	promoter-TSS (YHR131C)	protein_coding-promoter-TSS (YHR131C)	-290	YHR131C	YHR131C	YHR131C			YHR131C			protein_coding
Interval_426	V	6208	6780	+	0	NA	promoter-TSS (YEL075C)	protein_coding-promoter-TSS (YEL075C)	368	YEL074W	YEL074W	YEL074W			YEL074W			protein_coding
Interval_1219	XIV	560431	560777	+	0	NA	TTS (YNL036W)	protein_coding-TTS (YNL036W)	161	tT(AGU)N2	tT(AGU)N2	tT(AGU)N2			tT(AGU)N2			tRNA
Interval_1086	XIII	413028	413543	+	0	NA	promoter-TSS (YMR073C)	protein_coding-promoter-TSS (YMR073C)	188	YMR074C	YMR074C	YMR074C			YMR074C			protein_coding
Interval_1141	XIII	901205	901643	+	0	NA	promoter-TSS (YMR313C)	protein_coding-promoter-TSS (YMR313C)	-117	YMR313C	YMR313C	YMR313C			TGL3			protein_coding
Interval_1233	XIV	691931	692288	+	0	NA	promoter-TSS (YNR034W-A)	protein_coding-promoter-TSS (YNR034W-A)	-452	YNR034W-A	YNR034W-A	YNR034W-A			YNR034W-A			protein_coding
Interval_1084	XIII	388020	388652	+	0	NA	promoter-TSS (YMR056C)	protein_coding-promoter-TSS (YMR056C)	-92	YMR056C	YMR056C	YMR056C			AAC1			protein_coding
Interval_193	IV	215774	216136	+	0	NA	promoter-TSS (YDL137W)	protein_coding-promoter-TSS (YDL137W)	-574	YDL137W	YDL137W	YDL137W			ARF2			protein_coding
Interval_771	X	150599	150782	+	0	NA	promoter-TSS (YJL140W)	protein_coding-promoter-TSS (YJL140W)	-271	YJL140W	YJL140W	YJL140W			RPB4			protein_coding
Interval_1175	XIV	275862	276247	+	0	NA	promoter-TSS (YNL192W)	protein_coding-promoter-TSS (YNL192W)	-448	YNL192W	YNL192W	YNL192W			CHS1			protein_coding
Interval_165	III	295513	295966	+	0	NA	TTS (tT(AGU)C)	tRNA-TTS (tT(AGU)C)	255	tT(AGU)C	tT(AGU)C	tT(AGU)C			tT(AGU)C			tRNA
Interval_699	VIII	181454	181856	+	0	NA	promoter-TSS (YHR037W)	protein_coding-promoter-TSS (YHR037W)	-322	YHR037W	YHR037W	YHR037W			PUT2			protein_coding
Interval_1216	XIV	525322	525959	+	0	NA	promoter-TSS (YNL054W)	protein_coding-promoter-TSS (YNL054W)	-446	YNL054W	YNL054W	YNL054W			VAC7			protein_coding
Interval_138	III	103603	104511	+	0	NA	promoter-TSS (YCL011C)	protein_coding-promoter-TSS (YCL011C)	293	YCL010C	YCL010C	YCL010C			SGF29			protein_coding
Interval_1041	XIII	50924	51532	+	0	NA	promoter-TSS (YML109W)	protein_coding-promoter-TSS (YML109W)	-274	YML110C	YML110C	YML110C			COQ5			protein_coding
Interval_521	VI	95148	95966	+	0	NA	promoter-TSS (YFL021W)	protein_coding-promoter-TSS (YFL021W)	-409	YFL021W	YFL021W	YFL021W			GAT1			protein_coding
Interval_1375	XVI	74573	75548	+	0	NA	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-341	YPL250C	YPL250C	YPL250C			ICY2			protein_coding
Interval_1092	XIII	463115	463669	+	0	NA	promoter-TSS (YMR098C)	protein_coding-promoter-TSS (YMR098C)	-162	tD(GUC)M	tD(GUC)M	tD(GUC)M			tD(GUC)M			tRNA
Interval_1169	XIV	198037	199104	+	0	NA	promoter-TSS (YNL241C)	protein_coding-promoter-TSS (YNL241C)	-627	YNL241C	YNL241C	YNL241C			ZWF1			protein_coding
Interval_1342	XV	880390	880874	+	0	NA	promoter-TSS (YOR300W)	protein_coding-promoter-TSS (YOR300W)	57	YOR300W	YOR300W	YOR300W			YOR300W			protein_coding
Interval_337	IV	1429075	1430504	+	0	NA	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-809	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
Interval_876	XI	258395	259177	+	0	NA	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	127	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
Interval_956	XII	444838	445194	+	0	NA	promoter-TSS (YLR152C)	protein_coding-promoter-TSS (YLR152C)	-328	YLR152C	YLR152C	YLR152C			YLR152C			protein_coding
Interval_414	MT	25956	26695	+	0	NA	exon (Q0045, exon 8 of 8)	protein_coding-exon (Q0045, exon 8 of 8)	-1341	Q0080	Q0080	Q0080			ATP8			protein_coding
Interval_604	VII	561636	561909	+	0	NA	promoter-TSS (tS(AGA)G)	tRNA-promoter-TSS (tS(AGA)G)	-29	tS(AGA)G	tS(AGA)G	tS(AGA)G			tS(AGA)G			tRNA
Interval_17	I	165809	166473	+	0	NA	promoter-TSS (YAR010C)	protein_coding-promoter-TSS (YAR010C)	-126	tA(UGC)A	tA(UGC)A	tA(UGC)A			TGA1			tRNA
Interval_333	IV	1401325	1401714	+	0	NA	promoter-TSS (YDR470C)	protein_coding-promoter-TSS (YDR470C)	-251	YDR471W	YDR471W	YDR471W			RPL27B			protein_coding
Interval_1332	XV	812356	813775	+	0	NA	promoter-TSS (YOR260W)	protein_coding-promoter-TSS (YOR260W)	643	YOR259C	YOR259C	YOR259C			RPT4			protein_coding
Interval_729	VIII	400860	401187	+	0	NA	promoter-TSS (YHR151C)	protein_coding-promoter-TSS (YHR151C)	-175	YHR151C	YHR151C	YHR151C			MTC6			protein_coding
Interval_1147	XIV	19203	19441	+	0	NA	promoter-TSS (YNL330C)	protein_coding-promoter-TSS (YNL330C)	-20	YNL330C	YNL330C	YNL330C			RPD3			protein_coding
Interval_993	XII	722467	723774	+	0	NA	promoter-TSS (YLR295C)	protein_coding-promoter-TSS (YLR295C)	142	YLR296W	YLR296W	YLR296W			YLR296W			protein_coding
Interval_111	II	679935	681183	+	0	NA	promoter-TSS (YBR230C)	protein_coding-promoter-TSS (YBR230C)	197	YBR230W-A	YBR230W-A	YBR230W-A			YBR230W-A			protein_coding
Interval_90	II	504535	504766	+	0	NA	promoter-TSS (YBR133C)	protein_coding-promoter-TSS (YBR133C)	-204	YBR135W	YBR135W	YBR135W			CKS1			protein_coding
Interval_711	VIII	289806	294202	+	0	NA	promoter-TSS (YHR095W)	protein_coding-promoter-TSS (YHR095W)	621	YHR094C	YHR094C	YHR094C			HXT1			protein_coding
Interval_288	IV	1013758	1014145	+	0	NA	promoter-TSS (YDR276C)	protein_coding-promoter-TSS (YDR276C)	-308	YDR276C	YDR276C	YDR276C			PMP3			protein_coding
Interval_1405	XVI	369225	369662	+	0	NA	promoter-TSS (YPL095C)	protein_coding-promoter-TSS (YPL095C)	-2	YPL095C	YPL095C	YPL095C			EEB1			protein_coding
Interval_1325	XV	742233	742605	+	0	NA	promoter-TSS (YOR211C)	protein_coding-promoter-TSS (YOR211C)	-491	YOR212W	YOR212W	YOR212W			STE4			protein_coding
Interval_592	VII	482765	484510	+	0	NA	promoter-TSS (YGL007C-A)	protein_coding-promoter-TSS (YGL007C-A)	377	YGL007W	YGL007W	YGL007W			BRP1			protein_coding
Interval_468	V	278996	279592	+	0	NA	TTS (YER062C)	protein_coding-TTS (YER062C)	332	YER061C	YER061C	YER061C			CEM1			protein_coding
Interval_912	XI	589455	590177	+	0	NA	promoter-TSS (YKR079C)	protein_coding-promoter-TSS (YKR079C)	-511	YKR079C	YKR079C	YKR079C			TRZ1			protein_coding
Interval_719	VIII	354911	355111	+	0	NA	TTS (YHR122W)	protein_coding-TTS (YHR122W)	196	YHR123W	YHR123W	YHR123W			EPT1			protein_coding
Interval_1364	XV	1044427	1044617	+	0	NA	promoter-TSS (YOR376W-A)	protein_coding-promoter-TSS (YOR376W-A)	-674	YOR376W-A	YOR376W-A	YOR376W-A			YOR376W-A			protein_coding
Interval_107	II	642683	643158	+	0	NA	promoter-TSS (YBR208C)	protein_coding-promoter-TSS (YBR208C)	158	tC(GCA)B	tC(GCA)B	tC(GCA)B			tC(GCA)B			tRNA
Interval_1064	XIII	258840	259248	+	0	NA	promoter-TSS (YML006C)	protein_coding-promoter-TSS (YML006C)	195	tS(AGA)M	tS(AGA)M	tS(AGA)M			tS(AGA)M			tRNA
Interval_78	II	426573	427354	+	0	NA	promoter-TSS (YBR089C-A)	protein_coding-promoter-TSS (YBR089C-A)	95	YBR090C	YBR090C	YBR090C			YBR090C			protein_coding
Interval_494	V	435460	436224	+	0	NA	promoter-TSS (tK(CUU)E2)	tRNA-promoter-TSS (tK(CUU)E2)	-18	tK(CUU)E2	tK(CUU)E2	tK(CUU)E2			tK(CUU)E2			tRNA
Interval_250	IV	595040	595368	+	0	NA	exon (YDR074W, exon 1 of 1)	protein_coding-exon (YDR074W, exon 1 of 1)	1311	YDR074W	YDR074W	YDR074W			TPS2			protein_coding
Interval_958	XII	459514	461053	+	0	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	607	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
Interval_134	III	58725	59489	+	0	NA	promoter-TSS (YCL036W)	protein_coding-promoter-TSS (YCL036W)	81	YCL036W	YCL036W	YCL036W			GFD2			protein_coding
Interval_924	XII	48611	49760	+	0	NA	promoter-TSS (YLL043W)	protein_coding-promoter-TSS (YLL043W)	-556	YLL045C	YLL045C	YLL045C			RPL8B			protein_coding
Interval_488	V	408804	409535	+	0	NA	promoter-TSS (YER124C)	protein_coding-promoter-TSS (YER124C)	-106	YER124C	YER124C	YER124C			DSE1			protein_coding
Interval_918	XII	36	304	+	0	NA	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-673	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
Interval_995	XII	727802	729260	+	0	NA	promoter-TSS (YLR299C-A)	protein_coding-promoter-TSS (YLR299C-A)	-424	YLR300W	YLR300W	YLR300W			EXG1			protein_coding
Interval_1297	XV	471710	472496	+	0	NA	promoter-TSS (YOR076C)	protein_coding-promoter-TSS (YOR076C)	204	YOR077W	YOR077W	YOR077W			RTS2			protein_coding
Interval_437	V	80020	80405	+	0	NA	promoter-TSS (YEL038W)	protein_coding-promoter-TSS (YEL038W)	-235	YEL039C	YEL039C	YEL039C			CYC7			protein_coding
Interval_879	XI	302975	303217	+	0	NA	TTS (tW(CCA)K)	tRNA-TTS (tW(CCA)K)	178	tW(CCA)K	tW(CCA)K	tW(CCA)K			tW(CCA)K			tRNA
Interval_796	X	374073	374486	+	0	NA	promoter-TSS (YJL039C)	protein_coding-promoter-TSS (YJL039C)	216	tD(GUC)J3	tD(GUC)J3	tD(GUC)J3			tD(GUC)J3			tRNA
Interval_383	IX	222622	222864	+	0	NA	promoter-TSS (YIL074C)	protein_coding-promoter-TSS (YIL074C)	-253	YIL074C	YIL074C	YIL074C			SER33			protein_coding
Interval_1293	XV	438738	439148	+	0	NA	TTS (YOR059C)	protein_coding-TTS (YOR059C)	300	tK(UUU)O	tK(UUU)O	tK(UUU)O			tK(UUU)O			tRNA
Interval_143	III	127409	127933	+	0	NA	promoter-TSS (YCR007C)	protein_coding-promoter-TSS (YCR007C)	-45	tN(GUU)C	tN(GUU)C	tN(GUU)C			tN(GUU)C			tRNA
Interval_1433	XVI	591270	591496	+	0	NA	promoter-TSS (YPR015C)	protein_coding-promoter-TSS (YPR015C)	-357	YPR015C	YPR015C	YPR015C			YPR015C			protein_coding
Interval_609	VII	596353	596561	+	0	NA	promoter-TSS (YGR053C)	protein_coding-promoter-TSS (YGR053C)	-236	YGR054W	YGR054W	YGR054W			YGR054W			protein_coding
Interval_733	VIII	437056	437339	+	0	NA	promoter-TSS (YHR165C)	protein_coding-promoter-TSS (YHR165C)	-249	YHR165C	YHR165C	YHR165C			PRP8			protein_coding
Interval_150	III	169751	170045	+	0	NA	TTS (YCR028C)	protein_coding-TTS (YCR028C)	-1526	tQ(UUG)C	tQ(UUG)C	tQ(UUG)C			tQ(UUG)C			tRNA
Interval_934	XII	167725	168850	+	0	NA	promoter-TSS (YLR010C)	protein_coding-promoter-TSS (YLR010C)	-262	tS(AGA)L	tS(AGA)L	tS(AGA)L			tS(AGA)L			tRNA
Interval_1066	XIII	279718	280114	+	0	NA	promoter-TSS (YMR006C)	protein_coding-promoter-TSS (YMR006C)	-44	YMR007W	YMR007W	YMR007W			YMR007W			protein_coding
Interval_552	VII	159133	159352	+	0	NA	promoter-TSS (YGL180W)	protein_coding-promoter-TSS (YGL180W)	-823	YGL180W	YGL180W	YGL180W			ATG1			protein_coding
Interval_457	V	221371	222782	+	0	NA	promoter-TSS (YER033C)	protein_coding-promoter-TSS (YER033C)	230	YER034W	YER034W	YER034W			YER034W			protein_coding
Interval_199	IV	239599	240131	+	0	NA	promoter-TSS (YDL124W)	protein_coding-promoter-TSS (YDL124W)	-259	YDL125C	YDL125C	YDL125C			HNT1			protein_coding
Interval_754	X	73563	74038	+	0	NA	promoter-TSS (YJL191W)	protein_coding-promoter-TSS (YJL191W)	13	YJL191W	YJL191W	YJL191W			RPS14B			protein_coding
Interval_415	MT	28722	29024	+	0	NA	exon (Q0085, exon 1 of 1)	protein_coding-exon (Q0085, exon 1 of 1)	386	Q0085	Q0085	Q0085			ATP6			protein_coding
Interval_991	XII	713221	713495	+	0	NA	promoter-TSS (YLR287C-A)	protein_coding-promoter-TSS (YLR287C-A)	-200	YLR287C-A	YLR287C-A	YLR287C-A			RPS30A			protein_coding
Interval_307	IV	1182897	1183535	+	0	NA	promoter-TSS (YDR353W)	protein_coding-promoter-TSS (YDR353W)	-83	YDR353W	YDR353W	YDR353W			TRR1			protein_coding
Interval_574	VII	371029	371720	+	0	NA	promoter-TSS (YGL071W)	protein_coding-promoter-TSS (YGL071W)	-12	YGL072C	YGL072C	YGL072C			YGL072C			protein_coding
Interval_962	XII	499853	501275	+	0	NA	promoter-TSS (YLR168C)	protein_coding-promoter-TSS (YLR168C)	-169	YLR171W	YLR171W	YLR171W			YLR171W			protein_coding
Interval_1399	XVI	296825	297391	+	0	NA	promoter-TSS (YPL135W)	protein_coding-promoter-TSS (YPL135W)	-445	YPL135W	YPL135W	YPL135W			ISU1			protein_coding
Interval_373	IX	169737	170233	+	0	NA	promoter-TSS (YIL105C)	protein_coding-promoter-TSS (YIL105C)	-344	YIL105C	YIL105C	YIL105C			SLM1			protein_coding
Interval_869	XI	179338	179763	+	0	NA	promoter-TSS (YKL141W)	protein_coding-promoter-TSS (YKL141W)	-117	YKL141W	YKL141W	YKL141W			SDH3			protein_coding
Interval_71	II	378655	379231	+	0	NA	promoter-TSS (YBR069C)	protein_coding-promoter-TSS (YBR069C)	-510	YBR069C	YBR069C	YBR069C			TAT1			protein_coding
Interval_996	XII	734719	735022	+	0	NA	promoter-TSS (tI(AAU)L1)	tRNA-promoter-TSS (tI(AAU)L1)	68	tI(AAU)L1	tI(AAU)L1	tI(AAU)L1			tI(AAU)L1			tRNA
Interval_990	XII	710543	710826	+	0	NA	promoter-TSS (YLR286C)	protein_coding-promoter-TSS (YLR286C)	-548	YLR286C	YLR286C	YLR286C			CTS1			protein_coding
Interval_730	VIII	410926	411631	+	0	NA	promoter-TSS (snR71)	snoRNA-promoter-TSS (snR71)	50	snR71	snR71	snR71			snR71			snoRNA
Interval_1444	XVI	694842	695772	+	0	NA	promoter-TSS (YPR074C)	protein_coding-promoter-TSS (YPR074C)	289	YPR074W-A	YPR074W-A	YPR074W-A			YPR074W-A			protein_coding
Interval_1087	XIII	420194	420729	+	0	NA	promoter-TSS (YMR076C)	protein_coding-promoter-TSS (YMR076C)	200	tV(AAC)M2	tV(AAC)M2	tV(AAC)M2			tV(AAC)M2			tRNA
Interval_1266	XV	218363	219162	+	0	NA	promoter-TSS (YOL058W)	protein_coding-promoter-TSS (YOL058W)	-449	YOL058W	YOL058W	YOL058W			ARG1			protein_coding
Interval_306	IV	1174419	1175038	+	0	NA	promoter-TSS (YDR349C)	protein_coding-promoter-TSS (YDR349C)	-552	YDR349C	YDR349C	YDR349C			YPS7			protein_coding
Interval_1357	XV	1003301	1004506	+	0	NA	promoter-TSS (YOR354C)	protein_coding-promoter-TSS (YOR354C)	-678	YOR354C	YOR354C	YOR354C			MSC6			protein_coding
Interval_610	VII	598869	599300	+	0	NA	promoter-TSS (YGR055W)	protein_coding-promoter-TSS (YGR055W)	-333	YGR055W	YGR055W	YGR055W			MUP1			protein_coding
Interval_591	VII	479937	481950	+	0	NA	exon (YGL008C, exon 1 of 1)	protein_coding-exon (YGL008C, exon 1 of 1)	1723	YGL008C	YGL008C	YGL008C			PMA1			protein_coding
Interval_1127	XIII	773011	775844	+	0	NA	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-325	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
Interval_405	IX	388412	389333	+	0	NA	TTS (YIR019C)	protein_coding-TTS (YIR019C)	-3171	YIR018C-A	YIR018C-A	YIR018C-A			YIR018C-A			protein_coding
Interval_298	IV	1108154	1108566	+	0	NA	promoter-TSS (YDR320C)	protein_coding-promoter-TSS (YDR320C)	-124	YDR320W-B	YDR320W-B	YDR320W-B			YDR320W-B			protein_coding
Interval_833	X	638559	640650	+	0	NA	promoter-TSS (YJR113C)	protein_coding-promoter-TSS (YJR113C)	-338	YJR115W	YJR115W	YJR115W			YJR115W			protein_coding
Interval_452	V	177117	177673	+	0	NA	promoter-TSS (YER012W)	protein_coding-promoter-TSS (YER012W)	296	tE(UUC)E1	tE(UUC)E1	tE(UUC)E1			tE(UUC)E1			tRNA
Interval_432	V	51703	51918	+	0	NA	promoter-TSS (YEL055C)	protein_coding-promoter-TSS (YEL055C)	-271	YEL055C	YEL055C	YEL055C			POL5			protein_coding
Interval_194	IV	217255	217565	+	0	NA	promoter-TSS (YDL136W)	protein_coding-promoter-TSS (YDL136W)	-190	YDL136W	YDL136W	YDL136W			RPL35B			protein_coding
Interval_1455	XVI	792374	792586	+	0	NA	promoter-TSS (YPR128C)	protein_coding-promoter-TSS (YPR128C)	-207	YPR129W	YPR129W	YPR129W			SCD6			protein_coding
Interval_760	X	104398	105067	+	0	NA	promoter-TSS (YJL167W)	protein_coding-promoter-TSS (YJL167W)	-282	YJL167W	YJL167W	YJL167W			ERG20			protein_coding
Interval_1078	XIII	346988	347963	+	0	NA	promoter-TSS (YMR037C)	protein_coding-promoter-TSS (YMR037C)	785	YMR038C	YMR038C	YMR038C			CCS1			protein_coding
Interval_1447	XVI	701301	701469	+	0	NA	TTS (YPR081C)	protein_coding-TTS (YPR081C)	791	YPR080W	YPR080W	YPR080W			TEF1			protein_coding
Interval_1457	XVI	812592	813044	+	0	NA	promoter-TSS (YPR138C)	protein_coding-promoter-TSS (YPR138C)	-365	YPR138C	YPR138C	YPR138C			MEP3			protein_coding
Interval_1085	XIII	407632	408881	+	0	NA	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	547	YMR069W	YMR069W	YMR069W			NAT4			protein_coding
Interval_668	VII	1050302	1050618	+	0	NA	promoter-TSS (YGR279C)	protein_coding-promoter-TSS (YGR279C)	-502	YGR279C	YGR279C	YGR279C			SCW4			protein_coding
Interval_883	XI	325779	328412	+	0	NA	TTS (YKL061W)	protein_coding-TTS (YKL061W)	392	YKL060C	YKL060C	YKL060C			FBA1			protein_coding
Interval_31	II	59388	59646	+	0	NA	promoter-TSS (YBL088C)	protein_coding-promoter-TSS (YBL088C)	-135	YBL088C	YBL088C	YBL088C			TEL1			protein_coding
Interval_1138	XIII	886393	886883	+	0	NA	promoter-TSS (YMR306C-A)	protein_coding-promoter-TSS (YMR306C-A)	-66	YMR306C-A	YMR306C-A	YMR306C-A			YMR306C-A			protein_coding
Interval_219	IV	392677	392847	+	0	NA	promoter-TSS (YDL032W)	protein_coding-promoter-TSS (YDL032W)	-705	YDL035C	YDL035C	YDL035C			GPR1			protein_coding
