chr	start	end	interval_id	num_peaks	num_samples	SPT5_T0_R1.bool	SPT5_T0_R2.bool	SPT5_T15_R1.bool	SPT5_T15_R2.bool	SPT5_T0_R1.fc	SPT5_T0_R2.fc	SPT5_T15_R1.fc	SPT5_T15_R2.fc	SPT5_T0_R1.qval	SPT5_T0_R2.qval	SPT5_T15_R1.qval	SPT5_T15_R2.qval	SPT5_T0_R1.pval	SPT5_T0_R2.pval	SPT5_T15_R1.pval	SPT5_T15_R2.pval	SPT5_T0_R1.start	SPT5_T0_R2.start	SPT5_T15_R1.start	SPT5_T15_R2.start	SPT5_T0_R1.end	SPT5_T0_R2.end	SPT5_T15_R1.end	SPT5_T15_R2.end
IX	166005	166298	Interval_372	1	1	FALSE	TRUE	FALSE	FALSE	NA	5.37004	NA	NA	NA	5.3302	NA	NA	NA	7.61838	NA	NA	NA	166005	NA	NA	NA	166298	NA	NA
IX	169736	170233	Interval_373	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	4.04172	4.54525	NA	NA	3.37655	4.04343	NA	NA	5.32649	6.21431	NA	NA	169738	169736	NA	NA	170233	170111
IX	173394	174148	Interval_374	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	3.14603	2.82025	NA	NA	1.83154	1.30908	NA	NA	3.51806	2.93506	NA	NA	173394	173702	NA	NA	173815	174148
IX	174961	175617	Interval_375	2	2	TRUE	FALSE	TRUE	FALSE	4.38564	NA	2.77552	NA	4.0391	NA	1.45079	NA	6.15705	NA	3.06832	NA	174961	NA	175059	NA	175136	NA	175617	NA
IX	177499	178138	Interval_376	4	4	TRUE	TRUE	TRUE	TRUE	3.12314	3.50595	4.73679	3.52494	1.74475	2.28668	4.59337	2.41397	3.44601	4.13576	6.73638	4.26669	177547	177552	177499	177572	178138	177852	177868	177843
IX	197516	198444	Interval_377	3	3	TRUE	FALSE	TRUE	TRUE	3.56268	NA	3.63228	4.07553	2.31059	NA	2.5404	3.19035	4.14161	NA	4.36146	5.20584	197516	NA	197615	197615	197745	NA	198444	197816
IX	207528	207700	Interval_378	1	1	TRUE	FALSE	FALSE	FALSE	2.79957	NA	NA	NA	1.29103	NA	NA	NA	2.88459	NA	NA	NA	207528	NA	NA	NA	207700	NA	NA	NA
IX	210624	210798	Interval_379	1	1	TRUE	FALSE	FALSE	FALSE	2.97146	NA	NA	NA	1.52864	NA	NA	NA	3.19846	NA	NA	NA	210624	NA	NA	NA	210798	NA	NA	NA
IX	215010	215311	Interval_380	1	1	FALSE	TRUE	FALSE	FALSE	NA	2.91354	NA	NA	NA	1.35638	NA	NA	NA	3.06135	NA	NA	NA	215010	NA	NA	NA	215311	NA	NA
IX	216077	216365	Interval_381	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	3.11035	NA	NA	NA	1.81388	NA	NA	NA	3.52637	NA	NA	NA	216077	NA	NA	NA	216365	NA
IX	216407	216611	Interval_382	1	1	FALSE	TRUE	FALSE	FALSE	NA	2.68106	NA	NA	NA	1.11128	NA	NA	NA	2.70628	NA	NA	NA	216407	NA	NA	NA	216611	NA	NA
IX	222621	222864	Interval_383	2	2	TRUE	FALSE	FALSE	TRUE	4.11951	NA	NA	3.20173	3.11676	NA	NA	1.80717	5.09819	NA	NA	3.55481	222621	NA	NA	222670	222819	NA	NA	222864
IX	232442	232930	Interval_384	4	4	TRUE	TRUE	TRUE	TRUE	4.4469	5.06325	5.64018	4.22519	3.67862	4.98685	6.25109	3.65431	5.75204	7.23027	8.6355	5.74473	232512	232442	232471	232506	232895	232930	232893	232885
IX	248707	249897	Interval_385	4	4	TRUE	TRUE	TRUE	TRUE	5.36093	4.85855	5.96707	4.20772	5.41889	4.48438	7.2351	3.52592	7.72303	6.64949	9.7342	5.57052	248707	248767	248914	248999	249861	249868	249693	249897
IX	254131	255618	Interval_386	4	4	TRUE	TRUE	TRUE	TRUE	5.98678	6.83732	4.87864	5.11819	7.39689	8.34405	5.67445	5.08216	9.92798	10.9003	7.96416	7.42943	254201	254204	254140	254131	254952	255148	255618	255434
IX	257206	258812	Interval_387	6	4	TRUE	TRUE	TRUE	TRUE	4.38377	4.92148;3.19281	3.94837	3.52982;3.34553	3.58206	4.84607;1.7246	2.9899	2.46722;2.03868	5.63744	7.04029;3.50811	4.91253	4.32758;3.82966	257206	257239;258409	257208	257224;258407	258754	257544;258749	258723	257542;258812
IX	267800	268947	Interval_388	4	4	TRUE	TRUE	TRUE	TRUE	3.18754	2.81714	3.68336	2.7575	1.88185	1.34939	2.82279	1.58165	3.61742	3.00451	4.69227	3.24508	267800	268032	267947	267968	268893	268947	268551	268758
IX	291848	292404	Interval_389	2	2	TRUE	FALSE	FALSE	TRUE	2.98382	NA	NA	2.80245	1.47705	NA	NA	1.32983	3.17301	NA	NA	2.91403	291848	NA	NA	291895	292338	NA	NA	292404
IX	310899	311159	Interval_390	1	1	TRUE	FALSE	FALSE	FALSE	3.37907	NA	NA	NA	2.07971	NA	NA	NA	3.84328	NA	NA	NA	310899	NA	NA	NA	311159	NA	NA	NA
IX	316309	316612	Interval_391	4	4	TRUE	TRUE	TRUE	TRUE	3.89281	3.98077	3.95632	3.78572	2.90027	3.17428	3.23459	2.96934	4.83416	5.17967	5.17503	4.94125	316320	316320	316309	316320	316592	316584	316612	316609
IX	321972	322332	Interval_392	2	2	TRUE	FALSE	FALSE	TRUE	3.47162	NA	NA	2.80261	2.20313	NA	NA	1.46008	4.00686	NA	NA	3.09338	321972	NA	NA	322064	322157	NA	NA	322332
IX	325650	326042	Interval_393	1	1	TRUE	FALSE	FALSE	FALSE	3.57644	NA	NA	NA	2.35556	NA	NA	NA	4.19777	NA	NA	NA	325650	NA	NA	NA	326042	NA	NA	NA
IX	332631	333583	Interval_394	4	4	TRUE	TRUE	TRUE	TRUE	4.2078	4.88135	4.8091	4.98601	3.62565	4.47741	5.36111	4.82841	5.68178	6.6758	7.60184	7.15512	332737	332745	332710	332631	333393	333583	333461	333444
IX	336068	336369	Interval_395	2	2	TRUE	FALSE	FALSE	TRUE	3.29784	NA	NA	3.17097	2.07283	NA	NA	1.86404	3.84009	NA	NA	3.59631	336068	NA	NA	336142	336369	NA	NA	336317
IX	338270	339297	Interval_396	2	2	TRUE	TRUE	FALSE	FALSE	3.1058	4.17643	NA	NA	1.80498	3.32431	NA	NA	3.52738	5.34176	NA	NA	338744	338270	NA	NA	339194	339297	NA	NA
IX	343919	344184	Interval_397	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.92781	NA	NA	NA	1.55304	NA	NA	NA	3.20532	NA	NA	NA	343919	NA	NA	NA	344184
IX	348636	349000	Interval_398	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	2.76653	NA	NA	NA	1.32631	NA	NA	NA	2.92107	NA	NA	NA	348636	NA	NA	NA	349000	NA
IX	360383	360615	Interval_399	1	1	TRUE	FALSE	FALSE	FALSE	3.08267	NA	NA	NA	1.73594	NA	NA	NA	3.43655	NA	NA	NA	360383	NA	NA	NA	360615	NA	NA	NA
IX	370118	370341	Interval_400	1	1	TRUE	FALSE	FALSE	FALSE	2.78619	NA	NA	NA	1.34045	NA	NA	NA	2.96633	NA	NA	NA	370118	NA	NA	NA	370341	NA	NA	NA
IX	378349	378579	Interval_401	1	1	TRUE	FALSE	FALSE	FALSE	2.79086	NA	NA	NA	1.29369	NA	NA	NA	2.896	NA	NA	NA	378349	NA	NA	NA	378579	NA	NA	NA
IX	381778	382667	Interval_402	4	4	TRUE	TRUE	TRUE	TRUE	3.30072	3.63469	3.7166	3.1368	2.054	2.62291	3.11371	1.98816	3.82082	4.54112	5.02169	3.73516	381798	381778	382152	382231	382442	382485	382667	382530
IX	383794	384731	Interval_403	4	4	TRUE	TRUE	TRUE	TRUE	4.00262	4.82054	4.58868	3.37467	3.0457	4.41156	4.25791	2.10914	4.98111	6.55709	6.34848	3.88311	383961	383812	384211	383794	384517	384517	384731	384517
IX	386090	387046	Interval_404	4	4	TRUE	TRUE	TRUE	TRUE	3.34198	4.13224	4.30992	2.93717	2.0401	3.19723	3.90339	1.48644	3.81144	5.20831	5.9376	3.14166	386483	386298	386325	386090	386932	386879	387046	386935
IX	388411	389333	Interval_405	4	4	TRUE	TRUE	TRUE	TRUE	3.20995	3.48226	3.50578	3.04395	1.83831	2.18844	2.37266	1.64829	3.56376	4.02858	4.16843	3.33208	388666	388411	388442	388512	388951	389245	389197	389333
IX	394901	395184	Interval_406	1	1	FALSE	TRUE	FALSE	FALSE	NA	3.45802	NA	NA	NA	2.11184	NA	NA	NA	3.95564	NA	NA	NA	394901	NA	NA	NA	395184	NA	NA
IX	415715	416047	Interval_407	1	1	TRUE	FALSE	FALSE	FALSE	3.53464	NA	NA	NA	2.32183	NA	NA	NA	4.14888	NA	NA	NA	415715	NA	NA	NA	416047	NA	NA	NA
IX	421606	422013	Interval_408	1	1	TRUE	FALSE	FALSE	FALSE	2.76757	NA	NA	NA	1.24951	NA	NA	NA	2.83742	NA	NA	NA	421606	NA	NA	NA	422013	NA	NA	NA
IX	427270	427636	Interval_409	2	2	FALSE	TRUE	FALSE	TRUE	NA	3.95912	NA	3.18067	NA	2.97677	NA	1.87384	NA	4.96228	NA	3.61304	NA	427415	NA	427270	NA	427636	NA	427558
IX	438914	439863	Interval_410	4	4	TRUE	TRUE	TRUE	TRUE	5.25285	13.3746	3.805	4.37947	6.12042	23.2116	3.17451	3.7974	8.53259	26.6667	5.10078	5.91556	439064	439299	439299	438914	439862	439861	439863	439850
MT	2332	2588	Interval_411	1	1	FALSE	TRUE	FALSE	FALSE	NA	2.93954	NA	NA	NA	1.3745	NA	NA	NA	3.10224	NA	NA	NA	2332	NA	NA	NA	2588	NA	NA
MT	13931	16652	Interval_412	3	2	TRUE	TRUE	FALSE	FALSE	2.30834;3.02964	3.68617	NA	NA	1.34844;1.59346	2.65659	NA	NA	2.96546;3.26257	4.57151	NA	NA	13931;14886	14070	NA	NA	14207;16124	16652	NA	NA
MT	18041	21414	Interval_413	3	2	TRUE	TRUE	FALSE	FALSE	3.18808	3.1795;3.37699	NA	NA	1.88019	1.83105;2.1878	NA	NA	3.61893	3.62008;4.00761	NA	NA	18099	18041;20060	NA	NA	20959	18724;21414	NA	NA
MT	25955	26695	Interval_414	1	1	TRUE	FALSE	FALSE	FALSE	3.14805	NA	NA	NA	1.76568	NA	NA	NA	3.5023	NA	NA	NA	25955	NA	NA	NA	26695	NA	NA	NA
MT	28721	29024	Interval_415	2	2	TRUE	TRUE	FALSE	FALSE	3.07987	3.10583	NA	NA	1.62615	1.63155	NA	NA	3.33415	3.37628	NA	NA	28721	28738	NA	NA	29024	29001	NA	NA
MT	36598	36986	Interval_416	2	2	TRUE	TRUE	FALSE	FALSE	3.86622	5.0277	NA	NA	2.70336	4.77946	NA	NA	4.62823	7.00704	NA	NA	36598	36641	NA	NA	36966	36986	NA	NA
MT	40839	41910	Interval_417	2	2	TRUE	TRUE	FALSE	FALSE	4.29302	3.18654	NA	NA	3.36134	1.77027	NA	NA	5.3875	3.53809	NA	NA	41562	40839	NA	NA	41910	41737	NA	NA
MT	43110	43612	Interval_418	2	2	TRUE	TRUE	FALSE	FALSE	3.79381	3.12328	NA	NA	2.63886	1.65861	NA	NA	4.54212	3.41328	NA	NA	43110	43354	NA	NA	43612	43607	NA	NA
MT	55511	56180	Interval_419	1	1	FALSE	TRUE	FALSE	FALSE	NA	2.88391	NA	NA	NA	1.33573	NA	NA	NA	3.01476	NA	NA	NA	55511	NA	NA	NA	56180	NA	NA
MT	59632	62582	Interval_420	2	2	TRUE	TRUE	FALSE	FALSE	4.03413	2.96843	NA	NA	3.06309	1.75718	NA	NA	5.03181	3.5255	NA	NA	60493	59632	NA	NA	61246	62582	NA	NA
MT	64455	65077	Interval_421	1	1	TRUE	FALSE	FALSE	FALSE	2.94432	NA	NA	NA	1.42472	NA	NA	NA	3.10983	NA	NA	NA	64455	NA	NA	NA	65077	NA	NA	NA
MT	73714	74469	Interval_422	2	2	TRUE	TRUE	FALSE	FALSE	3.2679	3.53766	NA	NA	2.08052	2.4913	NA	NA	3.87587	4.40406	NA	NA	73714	73792	NA	NA	74318	74469	NA	NA
MT	77892	78578	Interval_423	1	1	TRUE	FALSE	FALSE	FALSE	2.94432	NA	NA	NA	1.42472	NA	NA	NA	3.10983	NA	NA	NA	77892	NA	NA	NA	78578	NA	NA	NA
MT	79258	79960	Interval_424	2	2	TRUE	TRUE	FALSE	FALSE	2.63529	3.05537	NA	NA	1.49905	2.2102	NA	NA	3.16268	4.06482	NA	NA	79258	79264	NA	NA	79907	79960	NA	NA
V	210	482	Interval_425	1	1	TRUE	FALSE	FALSE	FALSE	2.90012	NA	NA	NA	1.37515	NA	NA	NA	3.04221	NA	NA	NA	210	NA	NA	NA	482	NA	NA	NA
V	6207	6780	Interval_426	3	3	TRUE	TRUE	FALSE	TRUE	7.35532	3.98391	NA	3.76816	9.59296	2.87302	NA	2.63336	12.4019	4.87105	NA	4.55316	6207	6207	NA	6238	6441	6780	NA	6492
V	13140	13521	Interval_427	2	2	TRUE	FALSE	TRUE	FALSE	3.09989	NA	3.14964	NA	1.71394	NA	1.9386	NA	3.4243	NA	3.65769	NA	13219	NA	13140	NA	13448	NA	13521	NA
V	16037	16406	Interval_428	2	2	TRUE	FALSE	FALSE	TRUE	2.68385	NA	NA	3.39495	1.14327	NA	NA	2.18218	2.71034	NA	NA	3.97663	16046	NA	NA	16037	16406	NA	NA	16267
V	18956	19134	Interval_429	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.86479	NA	NA	NA	1.35943	NA	NA	NA	3.00075	NA	NA	NA	18956	NA	NA	NA	19134
V	33773	34159	Interval_430	2	2	TRUE	FALSE	FALSE	TRUE	2.7772	NA	NA	2.92439	1.25831	NA	NA	1.53826	2.85665	NA	NA	3.18641	33773	NA	NA	33776	33944	NA	NA	34159
V	42065	42772	Interval_431	4	4	TRUE	TRUE	TRUE	TRUE	3.37867	3.37749	4.28326	5.75144	2.07228	2.04916	3.71196	6.33154	3.83247	3.86234	5.70918	8.92604	42110	42097	42065	42084	42330	42772	42558	42373
V	51702	51918	Interval_432	1	1	FALSE	TRUE	FALSE	FALSE	NA	2.79012	NA	NA	NA	1.26237	NA	NA	NA	2.90704	NA	NA	NA	51702	NA	NA	NA	51918	NA	NA
V	53271	53977	Interval_433	4	4	TRUE	TRUE	TRUE	TRUE	4.4895	6.46873	4.58897	4.08231	3.9262	7.58151	4.59226	3.22356	6.02828	10.0914	6.72804	5.24662	53271	53365	53279	53443	53977	53886	53762	53775
V	56280	56621	Interval_434	1	1	FALSE	TRUE	FALSE	FALSE	NA	3.19851	NA	NA	NA	1.80866	NA	NA	NA	3.54839	NA	NA	NA	56280	NA	NA	NA	56621	NA	NA
V	61068	61493	Interval_435	1	1	FALSE	TRUE	FALSE	FALSE	NA	3.45123	NA	NA	NA	2.14417	NA	NA	NA	3.96534	NA	NA	NA	61068	NA	NA	NA	61493	NA	NA
V	68210	70353	Interval_436	4	4	TRUE	TRUE	TRUE	TRUE	4.65722	6.54503	4.41129	4.22934	4.66472	8.56019	4.51251	3.91188	6.83485	11.0959	6.63992	6.02228	68210	68583	68903	68991	70353	70351	70324	70271
V	80019	80405	Interval_437	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	3.74194	2.93497	NA	NA	3.07446	1.51548	NA	NA	4.98998	3.1554	NA	NA	80019	80219	NA	NA	80278	80405
V	84782	86739	Interval_438	5	4	TRUE	TRUE	TRUE	TRUE	5.03432	5.47076;3.60053	4.31377	4.14836	5.54285	5.45757;2.26722	4.41965	3.32988	7.81586	7.77251;4.17846	6.50761	5.37099	84788	84800;86518	84862	84782	86672	85619;86739	85600	86732
V	99513	100512	Interval_439	3	3	TRUE	TRUE	TRUE	FALSE	3.97954	2.76201	3.98493	NA	2.93906	1.21198	3.13566	NA	4.85896	2.82977	5.04639	NA	99550	99513	99593	NA	100238	100512	100168	NA
V	106313	107194	Interval_440	2	2	TRUE	FALSE	TRUE	FALSE	3.03116	NA	2.80516	NA	1.69051	NA	1.48142	NA	3.38928	NA	3.10722	NA	107000	NA	106313	NA	107194	NA	107081	NA
V	117435	118208	Interval_441	4	4	TRUE	TRUE	TRUE	TRUE	5.10858	4.73883	6.60354	3.97021	4.93701	4.65868	8.0836	3.46943	7.17348	6.86698	10.7662	5.52678	117435	117535	117552	117449	118103	118084	118208	118086
V	123066	123821	Interval_442	4	4	TRUE	TRUE	TRUE	TRUE	4.74768	5.53515	4.13618	5.5653	4.39618	5.67382	3.60286	5.83252	6.5464	7.97313	5.58611	8.29682	123066	123126	123134	123126	123821	123601	123575	123567
V	124271	124810	Interval_443	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.70817	NA	NA	NA	1.21886	NA	NA	NA	2.76381	NA	NA	NA	124271	NA	NA	NA	124810
V	131064	131771	Interval_444	2	2	TRUE	FALSE	FALSE	TRUE	2.78035	NA	NA	3.40102	1.26575	NA	NA	2.16527	2.86011	NA	NA	3.95602	131279	NA	NA	131064	131599	NA	NA	131771
V	135377	135578	Interval_445	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	2.93356	3.35921	NA	NA	1.74611	2.19632	NA	NA	3.42076	3.99828	NA	NA	135377	135383	NA	NA	135569	135578
V	140457	141783	Interval_446	4	4	TRUE	TRUE	TRUE	TRUE	5.89466	7.98109	3.83977	3.98965	6.8218	11.2697	3.15177	3.16584	9.29344	14.0439	5.07293	5.15541	140457	140550	140569	140507	141537	141639	141454	141783
V	147864	148036	Interval_447	1	1	TRUE	FALSE	FALSE	FALSE	2.68464	NA	NA	NA	1.14406	NA	NA	NA	2.71033	NA	NA	NA	147864	NA	NA	NA	148036	NA	NA	NA
V	149949	150165	Interval_448	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.52271	NA	NA	NA	2.35668	NA	NA	NA	4.19171	NA	NA	NA	149949	NA	NA	NA	150165
V	152471	153287	Interval_449	4	4	TRUE	TRUE	TRUE	TRUE	3.43225	3.66118	3.6383	2.69717	2.15065	2.71643	2.62946	1.33996	3.94066	4.63881	4.46826	2.94333	152672	152731	152471	152737	153185	153287	153194	153190
V	167028	167567	Interval_450	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.55229	NA	NA	NA	1.02802	NA	NA	NA	2.51295	NA	NA	NA	167028	NA	NA	NA	167567
V	174577	175002	Interval_451	3	3	TRUE	FALSE	TRUE	TRUE	4.43144	NA	5.37566	4.54164	3.6391	NA	5.58467	4.10163	5.70037	NA	7.85827	6.28404	174711	NA	174697	174577	175002	NA	175002	174968
V	177116	177673	Interval_452	2	2	FALSE	TRUE	TRUE	FALSE	NA	2.74428	3.21903	NA	NA	1.3017	1.93427	NA	NA	2.96745	3.65241	NA	NA	177137	177116	NA	NA	177663	177673	NA
V	191947	192746	Interval_453	4	4	TRUE	TRUE	TRUE	TRUE	4.25089	3.6863	4.33794	4.92885	3.61027	2.56962	4.2065	5.04704	5.64334	4.47022	6.27935	7.38878	191947	192013	191947	191955	192306	192340	192746	192482
V	194660	195368	Interval_454	3	3	TRUE	FALSE	TRUE	TRUE	3.00341	NA	2.98911	3.07191	1.57628	NA	1.68805	1.69389	3.26916	NA	3.35754	3.37555	194660	NA	194746	194660	195020	NA	195020	195368
V	208614	208814	Interval_455	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.38172	NA	NA	NA	2.14712	NA	NA	NA	3.93823	NA	NA	NA	208614	NA	NA	NA	208814
V	211745	212846	Interval_456	3	3	TRUE	TRUE	FALSE	TRUE	3.73484	3.49932	NA	3.91795	2.58237	2.14537	NA	2.96897	4.45135	4.02205	NA	4.91723	212075	211928	NA	211745	212289	212339	NA	212846
V	221370	222782	Interval_457	4	4	TRUE	TRUE	TRUE	TRUE	3.32271	4.53398	3.17352	3.96242	2.25985	3.86666	2.14168	3.06917	4.05641	5.95324	3.89793	5.02914	221569	221766	221370	221578	222527	222522	222544	222782
V	225387	225724	Interval_458	3	3	TRUE	FALSE	TRUE	TRUE	4.02107	NA	5.60174	2.83987	3.02671	NA	6.05577	1.38773	4.96254	NA	8.39015	3.00031	225387	NA	225511	225387	225685	NA	225724	225695
V	238289	238781	Interval_459	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.08128	NA	NA	NA	1.72295	NA	NA	NA	3.43148	NA	NA	NA	238289	NA	NA	NA	238781
V	241980	242934	Interval_460	3	3	TRUE	TRUE	FALSE	TRUE	3.06461	2.81328	NA	3.45731	1.9348	1.33658	NA	2.43477	3.6816	3.0011	NA	4.2945	242119	241980	NA	242107	242565	242934	NA	242571
V	259955	260269	Interval_461	1	1	TRUE	FALSE	FALSE	FALSE	3.16388	NA	NA	NA	1.83201	NA	NA	NA	3.56162	NA	NA	NA	259955	NA	NA	NA	260269	NA	NA	NA
V	261260	261830	Interval_462	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	4.40272	4.01042	NA	NA	4.03507	3.25758	NA	NA	6.07972	5.27268	NA	NA	261366	261260	NA	NA	261830	261801
V	264150	264619	Interval_463	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	3.94697	3.4622	NA	NA	3.39039	2.23272	NA	NA	5.34483	4.04023	NA	NA	264150	264251	NA	NA	264538	264619
V	265960	266702	Interval_464	3	3	TRUE	TRUE	FALSE	TRUE	3.34162	2.74505	NA	3.31722	2.03943	1.18792	NA	2.04607	3.79932	2.801	NA	3.82118	266022	266200	NA	265960	266510	266702	NA	266221
V	268310	269154	Interval_465	4	4	TRUE	TRUE	TRUE	TRUE	4.39472	3.83926	4.18877	3.87597	3.71538	2.84164	3.50098	2.95494	5.75656	4.7967	5.4794	4.91483	268397	268310	268414	268428	268804	269154	268720	268828
V	270235	270581	Interval_466	3	3	TRUE	TRUE	TRUE	FALSE	3.71419	5.28143	4.06934	NA	2.58636	5.23513	3.46806	NA	4.46602	7.50368	5.44013	NA	270330	270235	270369	NA	270530	270581	270578	NA
V	271697	272458	Interval_467	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	2.7364	NA	NA	NA	1.38469	NA	NA	NA	2.98874	NA	NA	NA	271697	NA	NA	NA	272458	NA
V	278995	279592	Interval_468	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	4.85184	3.14949	NA	NA	4.63766	1.82744	NA	NA	6.77074	3.52989	NA	NA	278995	279261	NA	NA	279592	279558
V	280363	281565	Interval_469	4	4	TRUE	TRUE	TRUE	TRUE	4.84953	3.98095	5.09357	4.35919	4.5882	3.05484	5.41885	3.8988	6.76714	5.04943	7.67176	6.0398	280799	280945	280363	280825	281565	281460	281537	281563
V	284438	285072	Interval_470	4	4	TRUE	TRUE	TRUE	TRUE	6.33946	4.26664	5.0958	5.06847	7.40853	3.43551	5.29827	5.00676	9.9599	5.48193	7.53783	7.37249	284446	284479	284451	284438	285023	285020	285006	285072
V	291374	291662	Interval_471	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.08609	NA	NA	NA	1.69476	NA	NA	NA	3.38646	NA	NA	NA	291374	NA	NA	NA	291662
V	292701	292910	Interval_472	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.32959	NA	NA	NA	2.09902	NA	NA	NA	3.88822	NA	NA	NA	292701	NA	NA	NA	292910
V	295088	295734	Interval_473	3	3	TRUE	FALSE	TRUE	TRUE	3.01726	NA	3.34988	3.59599	1.56535	NA	2.10939	2.50123	3.23068	NA	3.85622	4.36697	295088	NA	295094	295163	295734	NA	295526	295350
V	298269	298537	Interval_474	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	3.1206	NA	NA	NA	1.79204	NA	NA	NA	3.46996	NA	NA	NA	298269	NA	NA	NA	298537	NA
V	302511	303863	Interval_475	4	4	TRUE	TRUE	TRUE	TRUE	3.47806	4.99542	4.31069	4.08057	2.24432	4.94732	3.96484	3.58708	4.04921	7.18704	5.98515	5.6586	302595	303280	302511	303345	303863	303808	303814	303813
V	305028	306255	Interval_476	3	3	TRUE	FALSE	TRUE	TRUE	3.5995	NA	4.44363	2.92279	2.5415	NA	4.29983	1.55512	4.38455	NA	6.38637	3.21172	305028	NA	305947	305944	306175	NA	306255	306197
V	311193	312193	Interval_477	4	4	TRUE	TRUE	TRUE	TRUE	3.46956	3.0939	3.5372	3.45324	2.56484	1.69923	3.04597	2.4122	4.43026	3.45117	4.93976	4.2519	311451	311621	311477	311193	311940	312185	312193	312185
V	321840	322473	Interval_478	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.06573	NA	NA	NA	1.68325	NA	NA	NA	3.38702	NA	NA	NA	321840	NA	NA	NA	322473
V	328300	328540	Interval_479	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	3.5201	NA	NA	NA	2.36926	NA	NA	NA	4.17518	NA	NA	NA	328300	NA	NA	NA	328540	NA
V	335133	336484	Interval_480	4	4	TRUE	TRUE	TRUE	TRUE	4.57921	3.49575	4.10999	4.07153	4.20959	2.31143	3.90155	3.43934	6.33206	4.18303	5.91557	5.49413	335383	335415	335133	335247	335781	335988	336484	336143
V	342449	343461	Interval_481	4	4	TRUE	TRUE	TRUE	TRUE	3.30756	3.59631	4.52291	3.64398	1.94663	2.50771	4.05872	2.71175	3.72632	4.38958	6.12663	4.61534	342491	342566	342477	342449	343461	343395	343443	343424
V	349281	350008	Interval_482	4	4	TRUE	TRUE	TRUE	TRUE	4.06011	2.96974	3.76765	4.37425	3.08566	1.52926	2.84719	4.19109	5.05063	3.24078	4.72781	6.38807	349281	349600	349484	349494	349782	349823	350008	349855
V	353798	355339	Interval_483	4	4	TRUE	TRUE	TRUE	TRUE	3.55199	3.56014	3.79174	4.38906	2.54655	2.54445	3.59462	3.99729	4.42237	4.37831	5.58498	6.13974	354658	353798	354934	354917	355253	355329	355339	355258
V	362284	362656	Interval_484	2	2	FALSE	TRUE	FALSE	TRUE	NA	5.51009	NA	3.97164	NA	5.47721	NA	2.98225	NA	7.80731	NA	4.96173	NA	362294	NA	362284	NA	362619	NA	362656
V	386351	387084	Interval_485	2	2	FALSE	TRUE	TRUE	FALSE	NA	3.44052	3.26352	NA	NA	2.11189	1.96069	NA	NA	3.96516	3.71067	NA	NA	386748	386351	NA	NA	387084	387046	NA
V	396288	396661	Interval_486	4	4	TRUE	TRUE	TRUE	TRUE	4.79523	5.74835	3.59905	4.65989	5.02778	6.37104	3.13027	4.38767	7.28646	8.74726	5.04084	6.62841	396371	396319	396316	396288	396661	396628	396614	396614
V	400725	401171	Interval_487	2	2	TRUE	FALSE	TRUE	FALSE	2.81471	NA	2.87713	NA	1.30196	NA	1.51926	NA	2.92852	NA	3.15663	NA	400969	NA	400725	NA	401170	NA	401171	NA
V	408803	409535	Interval_488	2	2	TRUE	TRUE	FALSE	FALSE	3.68101	3.36417	NA	NA	2.47179	1.93902	NA	NA	4.32236	3.78529	NA	NA	409259	408803	NA	NA	409505	409535	NA	NA
V	412995	413173	Interval_489	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.9486	NA	NA	NA	1.46224	NA	NA	NA	3.13126	NA	NA	NA	412995	NA	NA	NA	413173
V	422043	423614	Interval_490	4	4	TRUE	TRUE	TRUE	TRUE	4.19082	3.48746	4.59131	3.73336	3.30837	2.13355	4.11552	2.61367	5.31599	4.00833	6.19548	4.52318	422602	422043	422170	422375	423444	423458	423432	423614
V	424503	425275	Interval_491	1	1	FALSE	TRUE	FALSE	FALSE	NA	2.90646	NA	NA	NA	1.35145	NA	NA	NA	3.05022	NA	NA	NA	424503	NA	NA	NA	425275	NA	NA
