PeakID (cmd=annotatePeaks.pl SPT5_T0_R1_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T0_R1_peak_93	III	168201	168440	+	42	NA	promoter-TSS (YCR027C)	protein_coding-promoter-TSS (YCR027C)	52	tQ(UUG)C	tQ(UUG)C	tQ(UUG)C			tQ(UUG)C			tRNA
SPT5_T0_R1_peak_377	VII	609373	610310	+	42	NA	promoter-TSS (YGR060W)	protein_coding-promoter-TSS (YGR060W)	257	snR48	snR48	snR48			snR48			snoRNA
SPT5_T0_R1_peak_807	XV	619055	619957	+	42	NA	promoter-TSS (YOR153W)	protein_coding-promoter-TSS (YOR153W)	-334	YOR153W	YOR153W	YOR153W			PDR5			protein_coding
SPT5_T0_R1_peak_288	V	335384	335781	+	42	NA	promoter-TSS (YER088C)	protein_coding-promoter-TSS (YER088C)	-345	YER088W-B	YER088W-B	YER088W-B			YER088W-B			protein_coding
SPT5_T0_R1_peak_536	XI	355227	356333	+	41	NA	promoter-TSS (YKL043W)	protein_coding-promoter-TSS (YKL043W)	-542	YKL044W	YKL044W	YKL044W			YKL044W			protein_coding
SPT5_T0_R1_peak_901	XVI	828830	829554	+	41	NA	promoter-TSS (YPR149W)	protein_coding-promoter-TSS (YPR149W)	-726	YPR149W	YPR149W	YPR149W			NCE102			protein_coding
SPT5_T0_R1_peak_184	IV	1358983	1359802	+	41	NA	promoter-TSS (YDR449C)	protein_coding-promoter-TSS (YDR449C)	-490	YDR449C	YDR449C	YDR449C			UTP6			protein_coding
SPT5_T0_R1_peak_685	XIII	661806	662264	+	41	NA	promoter-TSS (YMR199W)	protein_coding-promoter-TSS (YMR199W)	-609	YMR199W	YMR199W	YMR199W			CLN1			protein_coding
SPT5_T0_R1_peak_690	XIII	773978	774568	+	41	NA	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-479	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
SPT5_T0_R1_peak_10	I	70940	72611	+	41	NA	promoter-TSS (YAL038W)	protein_coding-promoter-TSS (YAL038W)	-11	YAL038W	YAL038W	YAL038W			CDC19			protein_coding
SPT5_T0_R1_peak_827	XV	882091	882506	+	41	NA	promoter-TSS (YOR302W)	protein_coding-promoter-TSS (YOR302W)	-467	YOR302W	YOR302W	YOR302W			YOR302W			protein_coding
SPT5_T0_R1_peak_714	XIV	96222	96438	+	41	NA	promoter-TSS (tG(UCC)N)	tRNA-promoter-TSS (tG(UCC)N)	-18	tG(UCC)N	tG(UCC)N	tG(UCC)N			SUF6			tRNA
SPT5_T0_R1_peak_811	XV	678949	679174	+	41	NA	promoter-TSS (YOR182C)	protein_coding-promoter-TSS (YOR182C)	189	YOR183W	YOR183W	YOR183W			FYV12			protein_coding
SPT5_T0_R1_peak_843	XVI	6542	6915	+	40	NA	promoter-TSS (YPL283C)	protein_coding-promoter-TSS (YPL283C)	-721	YPL283C	YPL283C	YPL283C			YRF1-7			protein_coding
SPT5_T0_R1_peak_482	X	378390	378641	+	40	NA	promoter-TSS (YJL036W)	protein_coding-promoter-TSS (YJL036W)	155	tV(AAC)J	tV(AAC)J	tV(AAC)J			tV(AAC)J			tRNA
SPT5_T0_R1_peak_338	VII	110561	110973	+	40	NA	promoter-TSS (tH(GUG)G1)	tRNA-promoter-TSS (tH(GUG)G1)	-71	tH(GUG)G1	tH(GUG)G1	tH(GUG)G1			tH(GUG)G1			tRNA
SPT5_T0_R1_peak_52	II	426573	427079	+	40	NA	promoter-TSS (YBR089C-A)	protein_coding-promoter-TSS (YBR089C-A)	232	YBR090C	YBR090C	YBR090C			YBR090C			protein_coding
SPT5_T0_R1_peak_212	IX	174962	175136	+	40	NA	promoter-TSS (YIL102C)	protein_coding-promoter-TSS (YIL102C)	18	tT(AGU)I1	tT(AGU)I1	tT(AGU)I1			tT(AGU)I1			tRNA
SPT5_T0_R1_peak_825	XV	877820	878239	+	40	NA	promoter-TSS (YOR298C-A)	protein_coding-promoter-TSS (YOR298C-A)	-344	YOR298C-A	YOR298C-A	YOR298C-A			MBF1			protein_coding
SPT5_T0_R1_peak_808	XV	638772	639257	+	40	NA	promoter-TSS (YOR161C)	protein_coding-promoter-TSS (YOR161C)	253	YOR161C-C	YOR161C-C	YOR161C-C			YOR161C-C			protein_coding
SPT5_T0_R1_peak_891	XVI	700075	700308	+	40	NA	promoter-TSS (YPR080W)	protein_coding-promoter-TSS (YPR080W)	-403	YPR080W	YPR080W	YPR080W			TEF1			protein_coding
SPT5_T0_R1_peak_498	X	623120	623514	+	40	NA	promoter-TSS (YJR104C)	protein_coding-promoter-TSS (YJR104C)	-264	YJR105W	YJR105W	YJR105W			ADO1			protein_coding
SPT5_T0_R1_peak_815	XV	769743	770496	+	40	NA	promoter-TSS (YOR230W)	protein_coding-promoter-TSS (YOR230W)	-681	YOR230W	YOR230W	YOR230W			WTM1			protein_coding
SPT5_T0_R1_peak_872	XVI	406290	406535	+	40	NA	promoter-TSS (YPL079W)	protein_coding-promoter-TSS (YPL079W)	86	YPL080C	YPL080C	YPL080C			YPL080C			protein_coding
SPT5_T0_R1_peak_689	XIII	758907	759410	+	40	NA	promoter-TSS (YMR244C-A)	protein_coding-promoter-TSS (YMR244C-A)	-327	YMR244C-A	YMR244C-A	YMR244C-A			COA6			protein_coding
SPT5_T0_R1_peak_328	VI	221403	222203	+	40	NA	promoter-TSS (RUF23)	ncRNA-promoter-TSS (RUF23)	89	RUF23	RUF23	RUF23			RUF23			ncRNA
SPT5_T0_R1_peak_337	VII	73787	74425	+	40	NA	promoter-TSS (YGL226C-A)	protein_coding-promoter-TSS (YGL226C-A)	-204	tV(AAC)G3	tV(AAC)G3	tV(AAC)G3			tV(AAC)G3			tRNA
SPT5_T0_R1_peak_305	V	490947	491434	+	40	NA	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-297	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
SPT5_T0_R1_peak_115	IV	330620	330956	+	40	NA	promoter-TSS (YDL070W)	protein_coding-promoter-TSS (YDL070W)	-236	YDL070W	YDL070W	YDL070W			BDF2			protein_coding
SPT5_T0_R1_peak_379	VII	625225	625554	+	39	NA	promoter-TSS (YGR067C)	protein_coding-promoter-TSS (YGR067C)	-603	YGR067C	YGR067C	YGR067C			YGR067C			protein_coding
SPT5_T0_R1_peak_485	X	424226	424616	+	39	NA	promoter-TSS (YJL005W)	protein_coding-promoter-TSS (YJL005W)	94	tL(UAA)J	tL(UAA)J	tL(UAA)J			SUP51			tRNA
SPT5_T0_R1_peak_88	III	122666	124023	+	39	NA	promoter-TSS (YCR006C)	protein_coding-promoter-TSS (YCR006C)	304	tP(AGG)C	tP(AGG)C	tP(AGG)C			SUF2			tRNA
SPT5_T0_R1_peak_734	XIV	355254	355984	+	39	NA	promoter-TSS (YNL144C)	protein_coding-promoter-TSS (YNL144C)	-577	YNL144C	YNL144C	YNL144C			YNL144C			protein_coding
SPT5_T0_R1_peak_126	IV	465080	465487	+	39	NA	promoter-TSS (YDR010C)	protein_coding-promoter-TSS (YDR010C)	100	YDR010C	YDR010C	YDR010C			YDR010C			protein_coding
SPT5_T0_R1_peak_50	II	408512	408892	+	39	NA	promoter-TSS (YBR083W)	protein_coding-promoter-TSS (YBR083W)	-467	YBR083W	YBR083W	YBR083W			TEC1			protein_coding
SPT5_T0_R1_peak_410	VII	1026175	1027200	+	39	NA	promoter-TSS (YGR267C)	protein_coding-promoter-TSS (YGR267C)	-34	YGR268C	YGR268C	YGR268C			HUA1			protein_coding
SPT5_T0_R1_peak_784	XV	253713	254120	+	39	NA	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-339	YOL040C	YOL040C	YOL040C			RPS15			protein_coding
SPT5_T0_R1_peak_773	XV	83136	83685	+	39	NA	promoter-TSS (YOL125W)	protein_coding-promoter-TSS (YOL125W)	-424	YOL125W	YOL125W	YOL125W			TRM13			protein_coding
SPT5_T0_R1_peak_260	V	53272	53977	+	39	NA	promoter-TSS (YEL054C)	protein_coding-promoter-TSS (YEL054C)	-406	YEL054C	YEL054C	YEL054C			RPL12A			protein_coding
SPT5_T0_R1_peak_864	XVI	281512	282021	+	39	NA	promoter-TSS (YPL143W)	protein_coding-promoter-TSS (YPL143W)	-249	snR17b	snR17b	snR17b			snR17b			snoRNA
SPT5_T0_R1_peak_322	VI	106240	106746	+	39	NA	promoter-TSS (YFL014W)	protein_coding-promoter-TSS (YFL014W)	78	YFL015W-A	YFL015W-A	YFL015W-A			YFL015W-A			protein_coding
SPT5_T0_R1_peak_392	VII	788311	788621	+	38	NA	promoter-TSS (YGR148C)	protein_coding-promoter-TSS (YGR148C)	-565	YGR149W	YGR149W	YGR149W			YGR149W			protein_coding
SPT5_T0_R1_peak_114	IV	321562	322101	+	38	NA	promoter-TSS (YDL075W)	protein_coding-promoter-TSS (YDL075W)	-279	YDL076C	YDL076C	YDL076C			RXT3			protein_coding
SPT5_T0_R1_peak_302	V	467586	468114	+	38	NA	promoter-TSS (YER149C)	protein_coding-promoter-TSS (YER149C)	-380	YER149C	YER149C	YER149C			PEA2			protein_coding
SPT5_T0_R1_peak_409	VII	1000042	1001171	+	38	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-321	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
SPT5_T0_R1_peak_573	XII	241858	242078	+	38	NA	promoter-TSS (YLR047C)	protein_coding-promoter-TSS (YLR047C)	-264	YLR048W	YLR048W	YLR048W			RPS0B			protein_coding
SPT5_T0_R1_peak_566	XII	83873	84391	+	38	NA	promoter-TSS (YLL028W)	protein_coding-promoter-TSS (YLL028W)	-672	YLL028W	YLL028W	YLL028W			TPO1			protein_coding
SPT5_T0_R1_peak_504	X	663013	663847	+	38	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-319	snR3	snR3	snR3			snR3			snoRNA
SPT5_T0_R1_peak_554	XI	589648	590144	+	38	NA	promoter-TSS (YKR079C)	protein_coding-promoter-TSS (YKR079C)	-499	YKR080W	YKR080W	YKR080W			MTD1			protein_coding
SPT5_T0_R1_peak_538	XI	379287	379788	+	38	NA	promoter-TSS (tV(AAC)K2)	tRNA-promoter-TSS (tV(AAC)K2)	-143	tV(AAC)K2	tV(AAC)K2	tV(AAC)K2			tV(AAC)K2			tRNA
SPT5_T0_R1_peak_383	VII	700605	700972	+	38	NA	TTS (tK(UUU)G2)	tRNA-TTS (tK(UUU)G2)	113	tL(GAG)G	tL(GAG)G	tL(GAG)G			tL(GAG)G			tRNA
SPT5_T0_R1_peak_441	VIII	382823	383129	+	38	NA	promoter-TSS (YHR141C)	protein_coding-promoter-TSS (YHR141C)	-225	YHR141C	YHR141C	YHR141C			RPL42B			protein_coding
SPT5_T0_R1_peak_687	XIII	674993	675441	+	37	NA	promoter-TSS (YMR205C)	protein_coding-promoter-TSS (YMR205C)	-451	YMR205C	YMR205C	YMR205C			PFK2			protein_coding
SPT5_T0_R1_peak_692	XIII	797993	798344	+	37	NA	promoter-TSS (YMR265C)	protein_coding-promoter-TSS (YMR265C)	-243	YMR265C	YMR265C	YMR265C			YMR265C			protein_coding
SPT5_T0_R1_peak_280	V	268398	268804	+	37	NA	promoter-TSS (YER056C)	protein_coding-promoter-TSS (YER056C)	-488	YER056C	YER056C	YER056C			FCY2			protein_coding
SPT5_T0_R1_peak_198	IV	1496694	1497007	+	37	NA	promoter-TSS (YDR529C)	protein_coding-promoter-TSS (YDR529C)	-302	YDR529C	YDR529C	YDR529C			QCR7			protein_coding
SPT5_T0_R1_peak_609	XII	783607	784696	+	37	NA	promoter-TSS (YLR327C)	protein_coding-promoter-TSS (YLR327C)	-203	tS(GCU)L	tS(GCU)L	tS(GCU)L			tS(GCU)L			tRNA
SPT5_T0_R1_peak_22	II	45006	45728	+	37	NA	promoter-TSS (YBL092W)	protein_coding-promoter-TSS (YBL092W)	-449	YBL093C	YBL093C	YBL093C			ROX3			protein_coding
SPT5_T0_R1_peak_802	XV	505241	505795	+	37	NA	promoter-TSS (YOR096W)	protein_coding-promoter-TSS (YOR096W)	-276	YOR096W	YOR096W	YOR096W			RPS7A			protein_coding
SPT5_T0_R1_peak_737	XIV	405722	405974	+	37	NA	promoter-TSS (YNL117W)	protein_coding-promoter-TSS (YNL117W)	-284	YNL118C	YNL118C	YNL118C			DCP2			protein_coding
SPT5_T0_R1_peak_904	XVI	860149	860745	+	37	NA	promoter-TSS (YPR159C-A)	protein_coding-promoter-TSS (YPR159C-A)	-32	YPR159C-A	YPR159C-A	YPR159C-A			YPR159C-A			protein_coding
SPT5_T0_R1_peak_782	XV	218787	218982	+	37	NA	promoter-TSS (YOL058W)	protein_coding-promoter-TSS (YOL058W)	-327	YOL058W	YOL058W	YOL058W			ARG1			protein_coding
SPT5_T0_R1_peak_656	XIII	225497	225799	+	36	NA	promoter-TSS (YML024W)	protein_coding-promoter-TSS (YML024W)	-241	YML024W	YML024W	YML024W			RPS17A			protein_coding
SPT5_T0_R1_peak_218	IX	232513	232895	+	36	NA	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-309	YIL068W-A	YIL068W-A	YIL068W-A			YIL068W-A			protein_coding
SPT5_T0_R1_peak_681	XIII	540191	540847	+	36	NA	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-463	YMR135C	YMR135C	YMR135C			GID8			protein_coding
SPT5_T0_R1_peak_30	II	159604	160050	+	36	NA	promoter-TSS (YBL032W)	protein_coding-promoter-TSS (YBL032W)	-134	YBL033C	YBL033C	YBL033C			RIB1			protein_coding
SPT5_T0_R1_peak_863	XVI	280093	280384	+	36	NA	promoter-TSS (YPL144W)	protein_coding-promoter-TSS (YPL144W)	-242	YPL144W	YPL144W	YPL144W			POC4			protein_coding
SPT5_T0_R1_peak_228	IX	332738	333393	+	36	NA	promoter-TSS (YIL011W)	protein_coding-promoter-TSS (YIL011W)	54	YIL012W	YIL012W	YIL012W			YIL012W			protein_coding
SPT5_T0_R1_peak_613	XII	796420	797337	+	36	NA	promoter-TSS (YLR333C)	protein_coding-promoter-TSS (YLR333C)	200	YLR334C	YLR334C	YLR334C			YLR334C			protein_coding
SPT5_T0_R1_peak_18	I	229505	230108	+	36	NA	TTS (YAR073W)	protein_coding-TTS (YAR073W)	962	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
SPT5_T0_R1_peak_421	VIII	98321	98998	+	36	NA	promoter-TSS (YHL004W)	protein_coding-promoter-TSS (YHL004W)	136	YHL006C	YHL006C	YHL006C			SHU1			protein_coding
SPT5_T0_R1_peak_739	XIV	426977	427453	+	36	NA	promoter-TSS (YNL103W)	protein_coding-promoter-TSS (YNL103W)	-461	YNL104C	YNL104C	YNL104C			LEU4			protein_coding
SPT5_T0_R1_peak_345	VII	205321	205683	+	36	NA	promoter-TSS (tL(CAA)G1)	tRNA-promoter-TSS (tL(CAA)G1)	-19	tL(CAA)G1	tL(CAA)G1	tL(CAA)G1			tL(CAA)G1			tRNA
SPT5_T0_R1_peak_323	VI	182606	183359	+	36	NA	promoter-TSS (YFR017C)	protein_coding-promoter-TSS (YFR017C)	-121	YFR017C	YFR017C	YFR017C			IGD1			protein_coding
SPT5_T0_R1_peak_272	V	191948	192306	+	36	NA	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	-339	YER017C	YER017C	YER017C			AFG3			protein_coding
SPT5_T0_R1_peak_801	XV	494185	494765	+	36	NA	promoter-TSS (YOR092W)	protein_coding-promoter-TSS (YOR092W)	-652	YOR092W	YOR092W	YOR092W			ECM3			protein_coding
SPT5_T0_R1_peak_55	II	466063	467101	+	36	NA	promoter-TSS (YBR112C)	protein_coding-promoter-TSS (YBR112C)	-666	YBR114W	YBR114W	YBR114W			RAD16			protein_coding
SPT5_T0_R1_peak_271	V	174712	175002	+	36	NA	promoter-TSS (YER011W)	protein_coding-promoter-TSS (YER011W)	-391	YER011W	YER011W	YER011W			TIR1			protein_coding
SPT5_T0_R1_peak_85	III	78105	79033	+	36	NA	promoter-TSS (YCL024W)	protein_coding-promoter-TSS (YCL024W)	-593	YCL024W	YCL024W	YCL024W			KCC4			protein_coding
SPT5_T0_R1_peak_747	XIV	502813	503537	+	35	NA	promoter-TSS (YNL065W)	protein_coding-promoter-TSS (YNL065W)	-549	YNL065W	YNL065W	YNL065W			AQR1			protein_coding
SPT5_T0_R1_peak_501	X	638745	640650	+	35	NA	promoter-TSS (YJR113C)	protein_coding-promoter-TSS (YJR113C)	-245	YJR115W	YJR115W	YJR115W			YJR115W			protein_coding
SPT5_T0_R1_peak_209	IX	138257	139542	+	35	NA	promoter-TSS (YIL118W)	protein_coding-promoter-TSS (YIL118W)	-853	YIL118W	YIL118W	YIL118W			RHO3			protein_coding
SPT5_T0_R1_peak_903	XVI	855730	857249	+	35	NA	promoter-TSS (YPR158C-C)	protein_coding-promoter-TSS (YPR158C-C)	-232	YPR158C-C	YPR158C-C	YPR158C-C			YPR158C-C			protein_coding
SPT5_T0_R1_peak_647	XIII	124279	124556	+	35	NA	promoter-TSS (YML073C)	protein_coding-promoter-TSS (YML073C)	-245	YML073C	YML073C	YML073C			RPL6A			protein_coding
SPT5_T0_R1_peak_659	XIII	271493	272095	+	35	NA	promoter-TSS (YMR001C)	protein_coding-promoter-TSS (YMR001C)	-217	YMR001C-A	YMR001C-A	YMR001C-A			YMR001C-A			protein_coding
SPT5_T0_R1_peak_334	VII	23112	23738	+	35	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-510	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
SPT5_T0_R1_peak_221	IX	257207	258754	+	35	NA	promoter-TSS (YIL050W)	protein_coding-promoter-TSS (YIL050W)	300	YIL051C	YIL051C	YIL051C			MMF1			protein_coding
SPT5_T0_R1_peak_187	IV	1401349	1401714	+	35	NA	promoter-TSS (YDR470C)	protein_coding-promoter-TSS (YDR470C)	-239	YDR471W	YDR471W	YDR471W			RPL27B			protein_coding
SPT5_T0_R1_peak_393	VII	809718	810103	+	35	NA	promoter-TSS (YGR161C)	protein_coding-promoter-TSS (YGR161C)	-317	YGR161W-C	YGR161W-C	YGR161W-C			YGR161W-C			protein_coding
SPT5_T0_R1_peak_158	IV	1013758	1014041	+	35	NA	promoter-TSS (YDR276C)	protein_coding-promoter-TSS (YDR276C)	-256	YDR276C	YDR276C	YDR276C			PMP3			protein_coding
SPT5_T0_R1_peak_526	XI	216836	217068	+	35	NA	promoter-TSS (YKL120W)	protein_coding-promoter-TSS (YKL120W)	-392	YKL120W	YKL120W	YKL120W			OAC1			protein_coding
SPT5_T0_R1_peak_143	IV	768808	769815	+	35	NA	promoter-TSS (YDR154C)	protein_coding-promoter-TSS (YDR154C)	-214	YDR156W	YDR156W	YDR156W			RPA14			protein_coding
SPT5_T0_R1_peak_887	XVI	653812	654080	+	35	NA	promoter-TSS (YPR042C)	protein_coding-promoter-TSS (YPR042C)	-220	YPR043W	YPR043W	YPR043W			RPL43A			protein_coding
SPT5_T0_R1_peak_541	XI	428833	429224	+	35	NA	promoter-TSS (YKL007W)	protein_coding-promoter-TSS (YKL007W)	-274	YKL007W	YKL007W	YKL007W			CAP1			protein_coding
SPT5_T0_R1_peak_710	XIV	63072	63510	+	35	NA	promoter-TSS (YNL302C)	protein_coding-promoter-TSS (YNL302C)	-348	YNL302C	YNL302C	YNL302C			RPS19B			protein_coding
SPT5_T0_R1_peak_532	XI	308191	309044	+	35	NA	promoter-TSS (YKL068W-A)	protein_coding-promoter-TSS (YKL068W-A)	-400	tV(AAC)K1	tV(AAC)K1	tV(AAC)K1			tV(AAC)K1			tRNA
SPT5_T0_R1_peak_821	XV	836536	837006	+	35	NA	promoter-TSS (YOR273C)	protein_coding-promoter-TSS (YOR273C)	-340	YOR273C	YOR273C	YOR273C			TPO4			protein_coding
SPT5_T0_R1_peak_480	X	355399	355586	+	34	NA	promoter-TSS (YJL045W)	protein_coding-promoter-TSS (YJL045W)	36	tD(GUC)J2	tD(GUC)J2	tD(GUC)J2			tD(GUC)J2			tRNA
SPT5_T0_R1_peak_668	XIII	347163	347427	+	34	NA	promoter-TSS (YMR037C)	protein_coding-promoter-TSS (YMR037C)	-778	YMR037C	YMR037C	YMR037C			MSN2			protein_coding
SPT5_T0_R1_peak_888	XVI	678456	679386	+	34	NA	promoter-TSS (YPR063C)	protein_coding-promoter-TSS (YPR063C)	-30	YPR064W	YPR064W	YPR064W			YPR064W			protein_coding
SPT5_T0_R1_peak_505	X	683542	684442	+	34	NA	promoter-TSS (YJR137C)	protein_coding-promoter-TSS (YJR137C)	-575	YJR138W	YJR138W	YJR138W			IML1			protein_coding
SPT5_T0_R1_peak_62	II	604235	604428	+	34	NA	promoter-TSS (YBR188C)	protein_coding-promoter-TSS (YBR188C)	-177	YBR189W	YBR189W	YBR189W			RPS9B			protein_coding
SPT5_T0_R1_peak_298	V	435460	436023	+	34	NA	promoter-TSS (tK(CUU)E2)	tRNA-promoter-TSS (tK(CUU)E2)	83	tK(CUU)E2	tK(CUU)E2	tK(CUU)E2			tK(CUU)E2			tRNA
SPT5_T0_R1_peak_557	XI	630507	630883	+	34	NA	promoter-TSS (YKR097W)	protein_coding-promoter-TSS (YKR097W)	-457	YKR097W	YKR097W	YKR097W			PCK1			protein_coding
SPT5_T0_R1_peak_495	X	609036	609242	+	34	NA	promoter-TSS (YJR095W)	protein_coding-promoter-TSS (YJR095W)	-634	YJR095W	YJR095W	YJR095W			SFC1			protein_coding
SPT5_T0_R1_peak_151	IV	930524	930898	+	34	NA	promoter-TSS (YDR233C)	protein_coding-promoter-TSS (YDR233C)	-354	YDR233C	YDR233C	YDR233C			RTN1			protein_coding
SPT5_T0_R1_peak_137	IV	568769	568980	+	34	NA	promoter-TSS (YDR058C)	protein_coding-promoter-TSS (YDR058C)	-8	tR(UCU)D	tR(UCU)D	tR(UCU)D			tR(UCU)D			tRNA
SPT5_T0_R1_peak_76	II	761001	761196	+	33	NA	promoter-TSS (YBR277C)	protein_coding-promoter-TSS (YBR277C)	-159	YBR279W	YBR279W	YBR279W			PAF1			protein_coding
SPT5_T0_R1_peak_909	XVI	942472	942922	+	33	NA	promoter-TSS (YPR202W)	protein_coding-promoter-TSS (YPR202W)	-335	YPR202W	YPR202W	YPR202W			YPR202W			protein_coding
SPT5_T0_R1_peak_247	MT	41563	41910	+	33	NA	exon (Q0120, exon 4 of 4)	protein_coding-exon (Q0120, exon 4 of 4)	-4987	Q0130	Q0130	Q0130			OLI1			protein_coding
SPT5_T0_R1_peak_436	VIII	293163	294009	+	33	NA	promoter-TSS (YHR094C)	protein_coding-promoter-TSS (YHR094C)	643	YHR095W	YHR095W	YHR095W			YHR095W			protein_coding
SPT5_T0_R1_peak_295	V	422603	423444	+	33	NA	promoter-TSS (YER130C)	protein_coding-promoter-TSS (YER130C)	-577	YER130C	YER130C	YER130C			COM2			protein_coding
SPT5_T0_R1_peak_627	XII	921525	922588	+	33	NA	promoter-TSS (YLR399C)	protein_coding-promoter-TSS (YLR399C)	-7	YLR400W	YLR400W	YLR400W			YLR400W			protein_coding
SPT5_T0_R1_peak_796	XV	443372	444494	+	33	NA	promoter-TSS (YOR062C)	protein_coding-promoter-TSS (YOR062C)	-402	YOR062C	YOR062C	YOR062C			YOR062C			protein_coding
SPT5_T0_R1_peak_135	IV	550773	551440	+	33	NA	promoter-TSS (YDR046C)	protein_coding-promoter-TSS (YDR046C)	-530	YDR046C	YDR046C	YDR046C			BAP3			protein_coding
SPT5_T0_R1_peak_315	VI	74771	75008	+	33	NA	promoter-TSS (YFL031W)	protein_coding-promoter-TSS (YFL031W)	17	YFL032W	YFL032W	YFL032W			YFL032W			protein_coding
SPT5_T0_R1_peak_306	V	492165	492407	+	33	NA	promoter-TSS (YER159C)	protein_coding-promoter-TSS (YER159C)	138	tR(ACG)E	tR(ACG)E	tR(ACG)E			tR(ACG)E			tRNA
SPT5_T0_R1_peak_299	V	438725	439474	+	33	NA	promoter-TSS (YER135C)	protein_coding-promoter-TSS (YER135C)	399	tV(AAC)E1	tV(AAC)E1	tV(AAC)E1			tV(AAC)E1			tRNA
SPT5_T0_R1_peak_553	XI	581060	582094	+	32	NA	promoter-TSS (YKR075C)	protein_coding-promoter-TSS (YKR075C)	-706	YKR076W	YKR076W	YKR076W			ECM4			protein_coding
SPT5_T0_R1_peak_580	XII	416934	417317	+	32	NA	promoter-TSS (YLR136C)	protein_coding-promoter-TSS (YLR136C)	119	YLR137W	YLR137W	YLR137W			RKM5			protein_coding
SPT5_T0_R1_peak_684	XIII	652314	654127	+	32	NA	promoter-TSS (YMR194C-A)	protein_coding-promoter-TSS (YMR194C-A)	-84	YMR194C-A	YMR194C-A	YMR194C-A			YMR194C-A			protein_coding
SPT5_T0_R1_peak_665	XIII	306122	306932	+	32	NA	promoter-TSS (YMR016C)	protein_coding-promoter-TSS (YMR016C)	-934	YMR016C	YMR016C	YMR016C			SOK2			protein_coding
SPT5_T0_R1_peak_829	XV	901283	901515	+	32	NA	promoter-TSS (YOR312C)	protein_coding-promoter-TSS (YOR312C)	-205	YOR312C	YOR312C	YOR312C			RPL20B			protein_coding
SPT5_T0_R1_peak_450	VIII	505702	506076	+	32	NA	promoter-TSS (YHR203C)	protein_coding-promoter-TSS (YHR203C)	-359	YHR203C	YHR203C	YHR203C			RPS4B			protein_coding
SPT5_T0_R1_peak_445	VIII	450542	452205	+	32	NA	promoter-TSS (YHR173C)	protein_coding-promoter-TSS (YHR173C)	46	YHR174W	YHR174W	YHR174W			ENO2			protein_coding
SPT5_T0_R1_peak_568	XII	125024	125318	+	32	NA	promoter-TSS (YLL012W)	protein_coding-promoter-TSS (YLL012W)	-363	YLL012W	YLL012W	YLL012W			YEH1			protein_coding
SPT5_T0_R1_peak_467	X	150599	150782	+	32	NA	promoter-TSS (YJL140W)	protein_coding-promoter-TSS (YJL140W)	-271	YJL140W	YJL140W	YJL140W			RPB4			protein_coding
SPT5_T0_R1_peak_752	XIV	576071	576606	+	32	NA	promoter-TSS (YNL030W)	protein_coding-promoter-TSS (YNL030W)	-288	YNL031C	YNL031C	YNL031C			HHT2			protein_coding
SPT5_T0_R1_peak_113	IV	307891	308593	+	32	NA	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-182	YDL082W	YDL082W	YDL082W			RPL13A			protein_coding
SPT5_T0_R1_peak_514	XI	67730	69664	+	32	NA	exon (YKL198C, exon 1 of 1)	protein_coding-exon (YKL198C, exon 1 of 1)	-1231	YKL201C	YKL201C	YKL201C			MNN4			protein_coding
SPT5_T0_R1_peak_900	XVI	821563	822484	+	32	NA	promoter-TSS (YPR144C)	protein_coding-promoter-TSS (YPR144C)	291	snR45	snR45	snR45			snR45			snoRNA
SPT5_T0_R1_peak_461	X	115625	116604	+	32	NA	promoter-TSS (YJL162C)	protein_coding-promoter-TSS (YJL162C)	-104	tE(UUC)J	tE(UUC)J	tE(UUC)J			tE(UUC)J			tRNA
SPT5_T0_R1_peak_507	X	705312	705560	+	31	NA	promoter-TSS (YJR148W)	protein_coding-promoter-TSS (YJR148W)	-308	YJR148W	YJR148W	YJR148W			BAT2			protein_coding
SPT5_T0_R1_peak_651	XIII	169958	170259	+	31	NA	promoter-TSS (YML052W)	protein_coding-promoter-TSS (YML052W)	-294	YML052W	YML052W	YML052W			SUR7			protein_coding
