Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
NA	promoter-TSS (YDL138W)	protein_coding-promoter-TSS (YDL138W)	-529	YDL138W	YDL138W	YDL138W			RGT2			protein_coding
NA	promoter-TSS (YDL137W)	protein_coding-promoter-TSS (YDL137W)	-574	YDL137W	YDL137W	YDL137W			ARF2			protein_coding
NA	promoter-TSS (YDL136W)	protein_coding-promoter-TSS (YDL136W)	-190	YDL136W	YDL136W	YDL136W			RPL35B			protein_coding
NA	promoter-TSS (YDL133C-A)	protein_coding-promoter-TSS (YDL133C-A)	-19	YDL133C-A	YDL133C-A	YDL133C-A			RPL41B			protein_coding
NA	promoter-TSS (YDL130W)	protein_coding-promoter-TSS (YDL130W)	-9	YDL130W-A	YDL130W-A	YDL130W-A			STF1			protein_coding
NA	promoter-TSS (YDL129W)	protein_coding-promoter-TSS (YDL129W)	-175	YDL129W	YDL129W	YDL129W			YDL129W			protein_coding
NA	promoter-TSS (YDL127W)	protein_coding-promoter-TSS (YDL127W)	-439	YDL127W	YDL127W	YDL127W			PCL2			protein_coding
NA	promoter-TSS (YDL124W)	protein_coding-promoter-TSS (YDL124W)	-259	YDL125C	YDL125C	YDL125C			HNT1			protein_coding
NA	promoter-TSS (YDL122W)	protein_coding-promoter-TSS (YDL122W)	386	YDL123W	YDL123W	YDL123W			SNA4			protein_coding
NA	promoter-TSS (YDL120W)	protein_coding-promoter-TSS (YDL120W)	-137	YDL121C	YDL121C	YDL121C			YDL121C			protein_coding
NA	promoter-TSS (YDL112W)	protein_coding-promoter-TSS (YDL112W)	-72	YDL113C	YDL113C	YDL113C			ATG20			protein_coding
NA	promoter-TSS (YDL111C)	protein_coding-promoter-TSS (YDL111C)	28	YDL111C	YDL111C	YDL111C			RRP42			protein_coding
NA	promoter-TSS (YDL105W)	protein_coding-promoter-TSS (YDL105W)	-240	YDL106C	YDL106C	YDL106C			PHO2			protein_coding
NA	promoter-TSS (YDL085W)	protein_coding-promoter-TSS (YDL085W)	-216	YDL086C-A	YDL086C-A	YDL086C-A			YDL086C-A			protein_coding
NA	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-182	YDL082W	YDL082W	YDL082W			RPL13A			protein_coding
NA	promoter-TSS (YDL079C)	protein_coding-promoter-TSS (YDL079C)	-108	YDL079C	YDL079C	YDL079C			MRK1			protein_coding
NA	promoter-TSS (YDL075W)	protein_coding-promoter-TSS (YDL075W)	-288	YDL076C	YDL076C	YDL076C			RXT3			protein_coding
NA	promoter-TSS (YDL070W)	protein_coding-promoter-TSS (YDL070W)	-218	YDL072C	YDL072C	YDL072C			YET3			protein_coding
NA	promoter-TSS (YDL060W)	protein_coding-promoter-TSS (YDL060W)	-210	YDL060W	YDL060W	YDL060W			TSR1			protein_coding
NA	promoter-TSS (YDL055C)	protein_coding-promoter-TSS (YDL055C)	-861	YDL055C	YDL055C	YDL055C			PSA1			protein_coding
NA	promoter-TSS (YDL054C)	protein_coding-promoter-TSS (YDL054C)	-62	YDL054C	YDL054C	YDL054C			MCH1			protein_coding
NA	promoter-TSS (YDL051W)	protein_coding-promoter-TSS (YDL051W)	-64	YDL052C	YDL052C	YDL052C			SLC1			protein_coding
NA	promoter-TSS (YDL049C)	protein_coding-promoter-TSS (YDL049C)	-830	YDL049C	YDL049C	YDL049C			KNH1			protein_coding
NA	promoter-TSS (YDL047W)	protein_coding-promoter-TSS (YDL047W)	-610	YDL047W	YDL047W	YDL047W			SIT4			protein_coding
NA	promoter-TSS (YDL039C)	protein_coding-promoter-TSS (YDL039C)	-534	YDL039C	YDL039C	YDL039C			PRM7			protein_coding
NA	promoter-TSS (YDL037C)	protein_coding-promoter-TSS (YDL037C)	-867	YDL037C	YDL037C	YDL037C			BSC1			protein_coding
NA	promoter-TSS (YDL035C)	protein_coding-promoter-TSS (YDL035C)	-462	YDL035C	YDL035C	YDL035C			GPR1			protein_coding
NA	promoter-TSS (YDL032W)	protein_coding-promoter-TSS (YDL032W)	-705	YDL035C	YDL035C	YDL035C			GPR1			protein_coding
NA	promoter-TSS (YDL025C)	protein_coding-promoter-TSS (YDL025C)	-452	YDL025C	YDL025C	YDL025C			RTK1			protein_coding
NA	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	74	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
NA	promoter-TSS (YDL020C)	protein_coding-promoter-TSS (YDL020C)	-450	YDL020C	YDL020C	YDL020C			RPN4			protein_coding
NA	promoter-TSS (YDL007W)	protein_coding-promoter-TSS (YDL007W)	-115	YDL007W	YDL007W	YDL007W			RPT2			protein_coding
NA	promoter-TSS (YDR006C)	protein_coding-promoter-TSS (YDR006C)	-267	YDR007W	YDR007W	YDR007W			TRP1			protein_coding
NA	promoter-TSS (YDR009W)	protein_coding-promoter-TSS (YDR009W)	160	YDR008C	YDR008C	YDR008C			YDR008C			protein_coding
NA	promoter-TSS (YDR010C)	protein_coding-promoter-TSS (YDR010C)	-70	YDR010C	YDR010C	YDR010C			YDR010C			protein_coding
NA	promoter-TSS (YDR018C)	protein_coding-promoter-TSS (YDR018C)	95	YDR018C	YDR018C	YDR018C			YDR018C			protein_coding
NA	promoter-TSS (YDR019C)	protein_coding-promoter-TSS (YDR019C)	-194	YDR019C	YDR019C	YDR019C			GCV1			protein_coding
NA	promoter-TSS (YDR022C)	protein_coding-promoter-TSS (YDR022C)	-37	tV(UAC)D	tV(UAC)D	tV(UAC)D			tV(UAC)D			tRNA
NA	promoter-TSS (YDR025W)	protein_coding-promoter-TSS (YDR025W)	245	YDR024W	YDR024W	YDR024W			FYV1			protein_coding
NA	promoter-TSS (YDR028C)	protein_coding-promoter-TSS (YDR028C)	286	YDR029W	YDR029W	YDR029W			YDR029W			protein_coding
NA	promoter-TSS (YDR033W)	protein_coding-promoter-TSS (YDR033W)	-376	YDR033W	YDR033W	YDR033W			MRH1			protein_coding
NA	promoter-TSS (YDR034C)	protein_coding-promoter-TSS (YDR034C)	-433	YDR034C	YDR034C	YDR034C			LYS14			protein_coding
NA	promoter-TSS (YDR034C-C)	protein_coding-promoter-TSS (YDR034C-C)	-14	tL(UAA)D	tL(UAA)D	tL(UAA)D			tL(UAA)D			tRNA
NA	promoter-TSS (YDR034C-A)	protein_coding-promoter-TSS (YDR034C-A)	-101	YDR034W-B	YDR034W-B	YDR034W-B			YDR034W-B			protein_coding
NA	promoter-TSS (YDR034C-A)	protein_coding-promoter-TSS (YDR034C-A)	226	YDR034W-B	YDR034W-B	YDR034W-B			YDR034W-B			protein_coding
NA	promoter-TSS (YDR036C)	protein_coding-promoter-TSS (YDR036C)	-347	YDR036C	YDR036C	YDR036C			EHD3			protein_coding
NA	promoter-TSS (YDR040C)	protein_coding-promoter-TSS (YDR040C)	-584	YDR041W	YDR041W	YDR041W			RSM10			protein_coding
NA	promoter-TSS (YDR042C)	protein_coding-promoter-TSS (YDR042C)	-287	snR47	snR47	snR47			snR47			snoRNA
NA	promoter-TSS (YDR043C)	protein_coding-promoter-TSS (YDR043C)	-398	YDR043C	YDR043C	YDR043C			NRG1			protein_coding
NA	promoter-TSS (YDR044W)	protein_coding-promoter-TSS (YDR044W)	-465	YDR044W	YDR044W	YDR044W			HEM13			protein_coding
NA	promoter-TSS (YDR046C)	protein_coding-promoter-TSS (YDR046C)	-614	YDR046C	YDR046C	YDR046C			BAP3			protein_coding
NA	TTS (YDR049W)	protein_coding-TTS (YDR049W)	1140	YDR050C	YDR050C	YDR050C			TPI1			protein_coding
NA	promoter-TSS (YDR050C)	protein_coding-promoter-TSS (YDR050C)	-389	YDR050C	YDR050C	YDR050C			TPI1			protein_coding
NA	promoter-TSS (YDR054C)	protein_coding-promoter-TSS (YDR054C)	-469	YDR054C	YDR054C	YDR054C			CDC34			protein_coding
NA	promoter-TSS (YDR058C)	protein_coding-promoter-TSS (YDR058C)	-8	tR(UCU)D	tR(UCU)D	tR(UCU)D			tR(UCU)D			tRNA
NA	promoter-TSS (YDR059C)	protein_coding-promoter-TSS (YDR059C)	-432	YDR060W	YDR060W	YDR060W			MAK21			protein_coding
NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-417	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
NA	promoter-TSS (YDR074W)	protein_coding-promoter-TSS (YDR074W)	-233	YDR074W	YDR074W	YDR074W			TPS2			protein_coding
NA	exon (YDR074W, exon 1 of 1)	protein_coding-exon (YDR074W, exon 1 of 1)	1311	YDR074W	YDR074W	YDR074W			TPS2			protein_coding
NA	promoter-TSS (YDR075W)	protein_coding-promoter-TSS (YDR075W)	-715	YDR075W	YDR075W	YDR075W			PPH3			protein_coding
NA	promoter-TSS (YDR077W)	protein_coding-promoter-TSS (YDR077W)	-438	YDR077W	YDR077W	YDR077W			SED1			protein_coding
NA	promoter-TSS (YDR091C)	protein_coding-promoter-TSS (YDR091C)	-261	YDR091C	YDR091C	YDR091C			RLI1			protein_coding
NA	promoter-TSS (YDR096W)	protein_coding-promoter-TSS (YDR096W)	310	YDR094W	YDR094W	YDR094W			YDR094W			protein_coding
NA	promoter-TSS (YDR097C)	protein_coding-promoter-TSS (YDR097C)	-93	YDR097C	YDR097C	YDR097C			MSH6			protein_coding
NA	promoter-TSS (YDR098C)	protein_coding-promoter-TSS (YDR098C)	-12	YDR098C	YDR098C	YDR098C			GRX3			protein_coding
NA	Intergenic	Intergenic	-1234	YDR098C-A	YDR098C-A	YDR098C-A			YDR098C-A			protein_coding
NA	promoter-TSS (YDR109C)	protein_coding-promoter-TSS (YDR109C)	-164	YDR109C	YDR109C	YDR109C			YDR109C			protein_coding
NA	promoter-TSS (YDR119W-A)	protein_coding-promoter-TSS (YDR119W-A)	-210	YDR119W-A	YDR119W-A	YDR119W-A			COX26			protein_coding
NA	promoter-TSS (YDR127W)	protein_coding-promoter-TSS (YDR127W)	-339	YDR127W	YDR127W	YDR127W			ARO1			protein_coding
NA	promoter-TSS (YDR133C)	protein_coding-promoter-TSS (YDR133C)	-784	YDR134C	YDR134C	YDR134C			YDR134C			pseudogene
NA	promoter-TSS (YDR146C)	protein_coding-promoter-TSS (YDR146C)	-392	YDR146C	YDR146C	YDR146C			SWI5			protein_coding
NA	promoter-TSS (YDR148C)	protein_coding-promoter-TSS (YDR148C)	-266	YDR148C	YDR148C	YDR148C			KGD2			protein_coding
NA	promoter-TSS (YDR154C)	protein_coding-promoter-TSS (YDR154C)	-182	YDR155C	YDR155C	YDR155C			CPR1			protein_coding
NA	promoter-TSS (YDR169C)	protein_coding-promoter-TSS (YDR169C)	-354	YDR169C	YDR169C	YDR169C			STB3			protein_coding
NA	promoter-TSS (YDR171W)	protein_coding-promoter-TSS (YDR171W)	-241	YDR171W	YDR171W	YDR171W			HSP42			protein_coding
NA	promoter-TSS (YDR172W)	protein_coding-promoter-TSS (YDR172W)	-242	YDR172W	YDR172W	YDR172W			SUP35			protein_coding
NA	promoter-TSS (YDR173C)	protein_coding-promoter-TSS (YDR173C)	-195	YDR173C	YDR173C	YDR173C			ARG82			protein_coding
NA	promoter-TSS (YDR175C)	protein_coding-promoter-TSS (YDR175C)	-37	YDR175C	YDR175C	YDR175C			RSM24			protein_coding
NA	promoter-TSS (YDR186C)	protein_coding-promoter-TSS (YDR186C)	-278	YDR188W	YDR188W	YDR188W			CCT6			protein_coding
NA	promoter-TSS (YDR194C)	protein_coding-promoter-TSS (YDR194C)	28	YDR194W-A	YDR194W-A	YDR194W-A			YDR194W-A			protein_coding
NA	promoter-TSS (YDR208W)	protein_coding-promoter-TSS (YDR208W)	126	YDR207C	YDR207C	YDR207C			UME6			protein_coding
NA	promoter-TSS (YDR210C-C)	protein_coding-promoter-TSS (YDR210C-C)	-179	YDR211W	YDR211W	YDR211W			GCD6			protein_coding
NA	promoter-TSS (YDR213W)	protein_coding-promoter-TSS (YDR213W)	-475	YDR213W	YDR213W	YDR213W			UPC2			protein_coding
NA	promoter-TSS (YDR216W)	protein_coding-promoter-TSS (YDR216W)	464	YDR215C	YDR215C	YDR215C			YDR215C			protein_coding
NA	promoter-TSS (YDR219C)	protein_coding-promoter-TSS (YDR219C)	75	YDR221W	YDR221W	YDR221W			GTB1			protein_coding
NA	promoter-TSS (YDR222W)	protein_coding-promoter-TSS (YDR222W)	-404	YDR222W	YDR222W	YDR222W			YDR222W			protein_coding
NA	promoter-TSS (YDR224C)	protein_coding-promoter-TSS (YDR224C)	-111	YDR225W	YDR225W	YDR225W			HTA1			protein_coding
NA	promoter-TSS (YDR231C)	protein_coding-promoter-TSS (YDR231C)	-211	YDR231C	YDR231C	YDR231C			COX20			protein_coding
NA	promoter-TSS (YDR233C)	protein_coding-promoter-TSS (YDR233C)	-265	YDR234W	YDR234W	YDR234W			LYS4			protein_coding
NA	promoter-TSS (YDR242W)	protein_coding-promoter-TSS (YDR242W)	124	tY(GUA)D	tY(GUA)D	tY(GUA)D			SUP2			tRNA
NA	promoter-TSS (YDR246W-A)	protein_coding-promoter-TSS (YDR246W-A)	-93	YDR246W-A	YDR246W-A	YDR246W-A			YDR246W-A			protein_coding
NA	promoter-TSS (YDR249C)	protein_coding-promoter-TSS (YDR249C)	236	YDR250C	YDR250C	YDR250C			YDR250C			protein_coding
NA	promoter-TSS (YDR258C)	protein_coding-promoter-TSS (YDR258C)	-207	YDR258C	YDR258C	YDR258C			HSP78			protein_coding
NA	promoter-TSS (YDR259C)	protein_coding-promoter-TSS (YDR259C)	458	YDR260C	YDR260C	YDR260C			SWM1			protein_coding
NA	promoter-TSS (YDR261C-C)	protein_coding-promoter-TSS (YDR261C-C)	147	tG(GCC)D2	tG(GCC)D2	tG(GCC)D2			tG(GCC)D2			tRNA
NA	promoter-TSS (YDR275W)	protein_coding-promoter-TSS (YDR275W)	209	YDR274C	YDR274C	YDR274C			YDR274C			protein_coding
NA	promoter-TSS (YDR276C)	protein_coding-promoter-TSS (YDR276C)	-308	YDR276C	YDR276C	YDR276C			PMP3			protein_coding
NA	promoter-TSS (YDR277C)	protein_coding-promoter-TSS (YDR277C)	-534	YDR277C	YDR277C	YDR277C			MTH1			protein_coding
NA	promoter-TSS (YDR283C)	protein_coding-promoter-TSS (YDR283C)	-404	YDR283C	YDR283C	YDR283C			GCN2			protein_coding
NA	promoter-TSS (YDR284C)	protein_coding-promoter-TSS (YDR284C)	-503	YDR285W	YDR285W	YDR285W			ZIP1			protein_coding
NA	promoter-TSS (YDR297W)	protein_coding-promoter-TSS (YDR297W)	-492	YDR297W	YDR297W	YDR297W			SUR2			protein_coding
NA	promoter-TSS (YDR298C)	protein_coding-promoter-TSS (YDR298C)	-371	YDR299W	YDR299W	YDR299W			BFR2			protein_coding
NA	promoter-TSS (YDR303C)	protein_coding-promoter-TSS (YDR303C)	307	YDR304C	YDR304C	YDR304C			CPR5			protein_coding
NA	promoter-TSS (YDR306C)	protein_coding-promoter-TSS (YDR306C)	-181	YDR306C	YDR306C	YDR306C			YDR306C			protein_coding
NA	promoter-TSS (YDR309C)	protein_coding-promoter-TSS (YDR309C)	-453	YDR309C	YDR309C	YDR309C			GIC2			protein_coding
NA	promoter-TSS (YDR312W)	protein_coding-promoter-TSS (YDR312W)	-377	YDR312W	YDR312W	YDR312W			SSF2			protein_coding
NA	promoter-TSS (YDR320C)	protein_coding-promoter-TSS (YDR320C)	-124	YDR320W-B	YDR320W-B	YDR320W-B			YDR320W-B			protein_coding
NA	promoter-TSS (YDR333C)	protein_coding-promoter-TSS (YDR333C)	-57	YDR333C	YDR333C	YDR333C			RQC1			protein_coding
NA	promoter-TSS (YDR337W)	protein_coding-promoter-TSS (YDR337W)	-177	YDR337W	YDR337W	YDR337W			MRPS28			protein_coding
NA	promoter-TSS (YDR339C)	protein_coding-promoter-TSS (YDR339C)	-48	YDR340W	YDR340W	YDR340W			YDR340W			protein_coding
NA	promoter-TSS (YDR342C)	protein_coding-promoter-TSS (YDR342C)	-481	YDR342C	YDR342C	YDR342C			HXT7			protein_coding
NA	promoter-TSS (YDR343C)	protein_coding-promoter-TSS (YDR343C)	503	YDR344C	YDR344C	YDR344C			YDR344C			protein_coding
NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-623	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
NA	promoter-TSS (YDR348C)	protein_coding-promoter-TSS (YDR348C)	-497	YDR348C	YDR348C	YDR348C			PAL1			protein_coding
NA	promoter-TSS (YDR349C)	protein_coding-promoter-TSS (YDR349C)	-552	YDR349C	YDR349C	YDR349C			YPS7			protein_coding
NA	promoter-TSS (YDR353W)	protein_coding-promoter-TSS (YDR353W)	-83	YDR353W	YDR353W	YDR353W			TRR1			protein_coding
NA	promoter-TSS (YDR357C)	protein_coding-promoter-TSS (YDR357C)	-75	YDR357C	YDR357C	YDR357C			CNL1			protein_coding
NA	promoter-TSS (YDR359C)	protein_coding-promoter-TSS (YDR359C)	-304	YDR359C	YDR359C	YDR359C			EAF1			protein_coding
NA	promoter-TSS (YDR363W-A)	protein_coding-promoter-TSS (YDR363W-A)	118	tK(CUU)D1	tK(CUU)D1	tK(CUU)D1			tK(CUU)D1			tRNA
NA	promoter-TSS (YDR366C)	protein_coding-promoter-TSS (YDR366C)	461	YDR367W	YDR367W	YDR367W			KEI1			protein_coding
NA	promoter-TSS (YDR375C)	protein_coding-promoter-TSS (YDR375C)	-97	YDR376W	YDR376W	YDR376W			ARH1			protein_coding
NA	promoter-TSS (YDR379C-A)	protein_coding-promoter-TSS (YDR379C-A)	-295	YDR379C-A	YDR379C-A	YDR379C-A			SDH6			protein_coding
NA	promoter-TSS (YDR381C-A)	protein_coding-promoter-TSS (YDR381C-A)	69	YDR381C-A	YDR381C-A	YDR381C-A			YDR381C-A			protein_coding
NA	promoter-TSS (YDR384C)	protein_coding-promoter-TSS (YDR384C)	-374	YDR384C	YDR384C	YDR384C			ATO3			protein_coding
NA	promoter-TSS (YDR389W)	protein_coding-promoter-TSS (YDR389W)	-870	YDR389W	YDR389W	YDR389W			SAC7			protein_coding
NA	promoter-TSS (YDR394W)	protein_coding-promoter-TSS (YDR394W)	-309	YDR394W	YDR394W	YDR394W			RPT3			protein_coding
NA	promoter-TSS (YDR397C)	protein_coding-promoter-TSS (YDR397C)	-9	YDR397C	YDR397C	YDR397C			NCB2			protein_coding
NA	promoter-TSS (YDR399W)	protein_coding-promoter-TSS (YDR399W)	-332	YDR399W	YDR399W	YDR399W			HPT1			protein_coding
NA	promoter-TSS (YDR406W)	protein_coding-promoter-TSS (YDR406W)	3	YDR406W	YDR406W	YDR406W			PDR15			protein_coding
NA	promoter-TSS (YDR408C)	protein_coding-promoter-TSS (YDR408C)	-142	YDR409W	YDR409W	YDR409W			SIZ1			protein_coding
NA	promoter-TSS (YDR418W)	protein_coding-promoter-TSS (YDR418W)	-329	YDR418W	YDR418W	YDR418W			RPL12B			protein_coding
NA	promoter-TSS (YDR420W)	protein_coding-promoter-TSS (YDR420W)	149	tS(AGA)D3	tS(AGA)D3	tS(AGA)D3			tS(AGA)D3			tRNA
NA	promoter-TSS (YDR422C)	protein_coding-promoter-TSS (YDR422C)	597	YDR423C	YDR423C	YDR423C			CAD1			protein_coding
NA	promoter-TSS (YDR434W)	protein_coding-promoter-TSS (YDR434W)	-311	YDR434W	YDR434W	YDR434W			GPI17			protein_coding
NA	TTS (YDR434W)	protein_coding-TTS (YDR434W)	282	YDR435C	YDR435C	YDR435C			PPM1			protein_coding
NA	promoter-TSS (YDR441C)	protein_coding-promoter-TSS (YDR441C)	38	YDR442W	YDR442W	YDR442W			YDR442W			protein_coding
NA	promoter-TSS (YDR447C)	protein_coding-promoter-TSS (YDR447C)	-247	YDR447C	YDR447C	YDR447C			RPS17B			protein_coding
NA	promoter-TSS (YDR449C)	protein_coding-promoter-TSS (YDR449C)	-494	YDR449C	YDR449C	YDR449C			UTP6			protein_coding
NA	promoter-TSS (YDR451C)	protein_coding-promoter-TSS (YDR451C)	-71	YDR451C	YDR451C	YDR451C			YHP1			protein_coding
NA	promoter-TSS (YDR453C)	protein_coding-promoter-TSS (YDR453C)	217	YDR454C	YDR454C	YDR454C			GUK1			protein_coding
NA	promoter-TSS (YDR461C-A)	protein_coding-promoter-TSS (YDR461C-A)	-67	YDR461C-A	YDR461C-A	YDR461C-A			YDR461C-A			protein_coding
NA	promoter-TSS (YDR470C)	protein_coding-promoter-TSS (YDR470C)	-251	YDR471W	YDR471W	YDR471W			RPL27B			protein_coding
NA	promoter-TSS (YDR472W)	protein_coding-promoter-TSS (YDR472W)	124	snR13	snR13	snR13			snR13			snoRNA
NA	promoter-TSS (YDR476C)	protein_coding-promoter-TSS (YDR476C)	-67	YDR476C	YDR476C	YDR476C			YDR476C			protein_coding
NA	promoter-TSS (YDR481C)	protein_coding-promoter-TSS (YDR481C)	105	YDR482C	YDR482C	YDR482C			CWC21			protein_coding
NA	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-809	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
NA	promoter-TSS (YDR490C)	protein_coding-promoter-TSS (YDR490C)	-250	YDR490C	YDR490C	YDR490C			PKH1			protein_coding
NA	promoter-TSS (YDR497C)	protein_coding-promoter-TSS (YDR497C)	-407	YDR497C	YDR497C	YDR497C			ITR1			protein_coding
NA	promoter-TSS (YDR500C)	protein_coding-promoter-TSS (YDR500C)	-221	YDR500C	YDR500C	YDR500C			RPL37B			protein_coding
NA	promoter-TSS (YDR502C)	protein_coding-promoter-TSS (YDR502C)	-420	YDR502C	YDR502C	YDR502C			SAM2			protein_coding
NA	promoter-TSS (YDR505C)	protein_coding-promoter-TSS (YDR505C)	-637	YDR505C	YDR505C	YDR505C			PSP1			protein_coding
NA	promoter-TSS (YDR506C)	protein_coding-promoter-TSS (YDR506C)	38	tL(CAA)D	tL(CAA)D	tL(CAA)D			tL(CAA)D			tRNA
NA	promoter-TSS (YDR510C-A)	protein_coding-promoter-TSS (YDR510C-A)	24	YDR510C-A	YDR510C-A	YDR510C-A			YDR510C-A			protein_coding
NA	promoter-TSS (YDR516C)	protein_coding-promoter-TSS (YDR516C)	-301	YDR516C	YDR516C	YDR516C			EMI2			protein_coding
NA	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-120	YDR525W-A	YDR525W-A	YDR525W-A			SNA2			protein_coding
NA	promoter-TSS (YDR528W)	protein_coding-promoter-TSS (YDR528W)	-618	snR84	snR84	snR84			snR84			snoRNA
NA	promoter-TSS (YDR529C)	protein_coding-promoter-TSS (YDR529C)	-316	YDR529C	YDR529C	YDR529C			QCR7			protein_coding
NA	promoter-TSS (YDR533C)	protein_coding-promoter-TSS (YDR533C)	-276	YDR533C	YDR533C	YDR533C			HSP31			protein_coding
NA	promoter-TSS (YDR535C)	protein_coding-promoter-TSS (YDR535C)	13	YDR535C	YDR535C	YDR535C			YDR535C			protein_coding
NA	promoter-TSS (YDR540C)	protein_coding-promoter-TSS (YDR540C)	-386	YDR540C	YDR540C	YDR540C			IRC4			protein_coding
NA	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	293	YDR544C	YDR544C	YDR544C			YDR544C			protein_coding
NA	promoter-TSS (YIL177W-A)	protein_coding-promoter-TSS (YIL177W-A)	-723	YIL177W-A	YIL177W-A	YIL177W-A			YIL177W-A			protein_coding
NA	TTS (YIL170W)	pseudogene-TTS (YIL170W)	2106	YIL170W	YIL170W	YIL170W			HXT12			pseudogene
NA	promoter-TSS (YIL162W)	protein_coding-promoter-TSS (YIL162W)	261	YIL163C	YIL163C	YIL163C			YIL163C			protein_coding
NA	promoter-TSS (YIL153W)	protein_coding-promoter-TSS (YIL153W)	429	YIL154C	YIL154C	YIL154C			IMP2'			protein_coding
NA	promoter-TSS (YIL149C)	protein_coding-promoter-TSS (YIL149C)	177	YIL148W	YIL148W	YIL148W			RPL40A			protein_coding
NA	promoter-TSS (YIL147C)	protein_coding-promoter-TSS (YIL147C)	-149	YIL147C	YIL147C	YIL147C			SLN1			protein_coding
NA	promoter-TSS (YIL144W)	protein_coding-promoter-TSS (YIL144W)	-369	YIL144W	YIL144W	YIL144W			NDC80			protein_coding
NA	promoter-TSS (YIL140W)	protein_coding-promoter-TSS (YIL140W)	-57	YIL141W	YIL141W	YIL141W			YIL141W			protein_coding
NA	promoter-TSS (YIL134W)	protein_coding-promoter-TSS (YIL134W)	142	YIL134C-A	YIL134C-A	YIL134C-A			YIL134C-A			protein_coding
NA	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-277	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
NA	promoter-TSS (YIL130W)	protein_coding-promoter-TSS (YIL130W)	-235	YIL131C	YIL131C	YIL131C			FKH1			protein_coding
NA	TTS (YIL129C)	protein_coding-TTS (YIL129C)	3411	YIL130W	YIL130W	YIL130W			ASG1			protein_coding
NA	promoter-TSS (YIL123W)	protein_coding-promoter-TSS (YIL123W)	-283	YIL123W	YIL123W	YIL123W			SIM1			protein_coding
NA	promoter-TSS (YIL122W)	protein_coding-promoter-TSS (YIL122W)	-556	YIL122W	YIL122W	YIL122W			POG1			protein_coding
NA	promoter-TSS (YIL121W)	protein_coding-promoter-TSS (YIL121W)	-132	YIL121W	YIL121W	YIL121W			QDR2			protein_coding
NA	promoter-TSS (YIL118W)	protein_coding-promoter-TSS (YIL118W)	-771	YIL118W	YIL118W	YIL118W			RHO3			protein_coding
NA	promoter-TSS (YIL116W)	protein_coding-promoter-TSS (YIL116W)	-446	YIL116W	YIL116W	YIL116W			HIS5			protein_coding
NA	promoter-TSS (YIL113W)	protein_coding-promoter-TSS (YIL113W)	-211	YIL113W	YIL113W	YIL113W			SDP1			protein_coding
NA	promoter-TSS (YIL108W)	protein_coding-promoter-TSS (YIL108W)	-217	YIL109C	YIL109C	YIL109C			SEC24			protein_coding
NA	promoter-TSS (YIL106W)	protein_coding-promoter-TSS (YIL106W)	-263	YIL106W	YIL106W	YIL106W			MOB1			protein_coding
NA	promoter-TSS (YIL105C)	protein_coding-promoter-TSS (YIL105C)	-344	YIL105C	YIL105C	YIL105C			SLM1			protein_coding
NA	promoter-TSS (YIL102C-A)	protein_coding-promoter-TSS (YIL102C-A)	-179	YIL102C-A	YIL102C-A	YIL102C-A			YIL102C-A			protein_coding
NA	promoter-TSS (YIL102C)	protein_coding-promoter-TSS (YIL102C)	258	tT(AGU)I1	tT(AGU)I1	tT(AGU)I1			tT(AGU)I1			tRNA
NA	promoter-TSS (YIL099W)	protein_coding-promoter-TSS (YIL099W)	-138	YIL100C-A	YIL100C-A	YIL100C-A			YIL100C-A			protein_coding
NA	TTS (YIL088C)	protein_coding-TTS (YIL088C)	388	tE(CUC)I	tE(CUC)I	tE(CUC)I			tE(CUC)I			tRNA
NA	exon (YIL080W, exon 2 of 2)	pseudogene-exon (YIL080W, exon 2 of 2)	1979	YIL082W	YIL082W	YIL082W			YIL082W			protein_coding
NA	promoter-TSS (tI(AAU)I2)	tRNA-promoter-TSS (tI(AAU)I2)	46	tI(AAU)I2	tI(AAU)I2	tI(AAU)I2			tI(AAU)I2			tRNA
NA	TTS (YIL078W)	protein_coding-TTS (YIL078W)	792	YIL077C	YIL077C	YIL077C			YIL077C			protein_coding
NA	promoter-TSS (YIL076W)	protein_coding-promoter-TSS (YIL076W)	-268	YIL077C	YIL077C	YIL077C			YIL077C			protein_coding
NA	promoter-TSS (YIL076W)	protein_coding-promoter-TSS (YIL076W)	-149	YIL076W	YIL076W	YIL076W			SEC28			protein_coding
